"var","categoria","Son lo mismo aunque estén en espacios politoca diferentes","Son aliados tácticos pero lo ocultan","Son adversarios políticos","No sabe"
"P07","Al candidato del Frente de Todos",0.237,0.269,0.368,0.371
"P07","Al candidato de Juntos por el Cambio",0.189,0.193,0.427,0.255
"P07","Al candidato de los liberales - libertarios",0.415,0.392,0.125,0.141
"P07","Al candidato de la Izquierda",0.026,0.041,0.015,0.073
"P07","A otro candidato",0.06,0.049,0.023,0.025
"P07","No sabe",0.073,0.056,0.042,0.135
"P08","A Julio Zamora por el Frente de Todos",0.156,0.246,0.263,0.331
"P08","A Malena Galmarini por el Frente de Todos",0.162,0.126,0.154,0.13
"P08","A Segundo Cernadas por Cambiemos",0.139,0.061,0.346,0.142
"P08","A Nicolás Massot por Cambiemos",0.125,0.092,0.098,0.129
"P08","Al candidato de los liberales libertarios",0.363,0.333,0.102,0.118
"P08","A Paula Akerfeld por el Frente de Izquierda",0.03,0.053,0.013,0.047
"P08","No sabe",0.025,0.089,0.024,0.103
"P10","A Julio Zamora por el Frente de Todos",0.141,0.294,0.369,0.346
"P10","A Segundo Cernadas por Cambiemos",0.181,0.178,0.451,0.249
"P10","Al candidato de los liberales libertarios",0.385,0.311,0.092,0.137
"P10","A Paula Akerfeld por el Frente de Izquierda",0.073,0.039,0.012,0.083
"P10","No sabe",0.22,0.178,0.076,0.185
"P12","A Malena Galmarini por el Frente de Todos",0.2,0.205,0.256,0.282
"P12","A Segundo Cernadas por Cambiemos",0.163,0.199,0.449,0.31
"P12","Al candidato de los liberales libertarios",0.349,0.402,0.189,0.151
"P12","A Paula Akerfeld por el Frente de Izquierda",0.035,0.037,0.033,0.079
"P12","No sabe",0.253,0.157,0.073,0.178
"P14","Muy buena",0.087,0.053,0.089,0.098
"P14","Buena",0.077,0.079,0.132,0.125
"P14","Ni buena ni mala",0.214,0.198,0.187,0.183
"P14","Mala",0.197,0.142,0.199,0.156
"P14","Muy mala",0.365,0.485,0.353,0.229
"P14","No sabe",0.06,0.043,0.04,0.209
"P15","Muy buena",0.133,0.167,0.157,0.215
"P15","Buena",0.092,0.156,0.217,0.241
"P15","Ni buena ni mala",0.238,0.224,0.309,0.237
"P15","Mala",0.2,0.178,0.137,0.171
"P15","Muy mala",0.308,0.232,0.15,0.094
"P15","No sabe",0.029,0.043,0.03,0.042
"P16","Muy buena",0.11,0.093,0.246,0.077
"P16","Buena",0.108,0.153,0.215,0.186
"P16","Ni buena ni mala",0.317,0.21,0.214,0.298
"P16","Mala",0.21,0.183,0.165,0.049
"P16","Muy mala",0.195,0.356,0.116,0.077
"P16","No sabe",0.06,0.005,0.044,0.313
"P17","Muy buena",0.09,0.079,0.019,0.013
"P17","Buena",0.111,0.065,0.021,0.036
"P17","Ni buena ni mala",0.284,0.192,0.329,0.266
"P17","Mala",0.13,0.147,0.078,0.044
"P17","Muy mala",0.066,0.147,0.098,0.052
"P17","No sabe",0.319,0.37,0.455,0.589
"P18","Muy buena",0.093,0.035,0.091,0.066
"P18","Buena",0.047,0.188,0.106,0.122
"P18","Ni buena ni mala",0.319,0.366,0.333,0.265
"P18","Mala",0.264,0.179,0.098,0.069
"P18","Muy mala",0.104,0.067,0.136,0.048
"P18","No sabe",0.173,0.165,0.236,0.43
"P19","Muy buena",0.062,0.062,0.191,0.165
"P19","Buena",0.169,0.298,0.188,0.223
"P19","Ni buena ni mala",0.205,0.301,0.296,0.234
"P19","Mala",0.292,0.178,0.188,0.189
"P19","Muy mala",0.254,0.151,0.11,0.067
"P19","No sabe",0.018,0.01,0.027,0.122
"P20","Que continúe el intendente Julio Zamora",0.121,0.097,0.162,0.198
"P20","Que continúe Julio Zamora pero con mejoras",0.095,0.189,0.23,0.251
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.201,0.243,0.163,0.187
"P20","Que cambie el intendente Julio Zamora",0.583,0.471,0.445,0.364
"P21","Es kirchnerista",0.196,0.107,0.177,0.126
"P21","Forma parte del Frente de Todos",0.181,0.319,0.302,0.199
"P21","Es un hombre de Massa",0.125,0.086,0.205,0.134
"P21","Es un peronista independiente de centro",0.097,0.068,0.119,0.09
"P21","Es un oportunista y está donde le conviene",0.313,0.275,0.145,0.191
"P21","No sabe",0.088,0.145,0.052,0.26
"P23","Son lo mismo, ambos son de Massa",0.445,0.296,0.318,0.141
"P23","Son aliados en el Frente de Todos pero compiten",0.293,0.383,0.302,0.155
"P23","Son enemigos porque Zamora traicionó a Massa",0.178,0.216,0.282,0.171
"P23","No sabe",0.084,0.105,0.098,0.533
"P24","La seguridad",0.207,0.2,0.232,0.242
"P24","El tránsito",0.085,0.087,0.089,0.041
"P24","El arreglo de las calles",0.16,0.146,0.168,0.061
"P24","El estado de las escuelas y la educación",0.096,0.042,0.02,0.093
"P24","El sistema de salud",0.041,0.112,0.086,0.125
"P24","El deporte y la cultura",0.137,0.127,0.131,0.094
"P24","La obra pública",0.013,0.065,0.051,0.076
"P24","La luminaria",0.057,0.108,0.056,0.078
"P24","No sabe",0.204,0.113,0.167,0.19
"P25","La seguridad",0.213,0.1,0.101,0.18
"P25","El tránsito",0.099,0.107,0.087,0.065
"P25","El arreglo de las calles",0.194,0.202,0.274,0.084
"P25","El estado de las escuelas y la educación",0.294,0.212,0.144,0.186
"P25","El sistema de salud",0.06,0.171,0.224,0.187
"P25","El deporte y la cultura",0.011,0.046,0.013,0.016
"P25","La obra pública",0.05,0.028,0.036,0.046
"P25","La luminaria",0,0.05,0.028,0.027
"P25","No sabe",0.079,0.084,0.093,0.209
"P26","Agua corriente y cloacas",0.487,0.297,0.406,0.445
"P26","Energía eléctrica",0.194,0.278,0.154,0.106
"P26","Red de gas natural",0.055,0.047,0.054,0.078
"P26","Recolección de residuos",0.168,0.252,0.148,0.115
"P26","Ninguno",0.096,0.126,0.238,0.256
"P27","Los robos",0.271,0.329,0.249,0.218
"P27","El narcotráfico",0.324,0.323,0.376,0.297
"P27","La ausencia de patrulleros y personal policial",0.201,0.161,0.146,0.166
"P27","Otro",0.151,0.104,0.121,0.208
"P27","Ninguno",0.053,0.083,0.108,0.111
"P28","Frente de Todos y el peronismo",0.348,0.211,0.302,0.273
"P28","Cambiemos",0.108,0.252,0.369,0.296
"P28","Liberales Libertarios",0.363,0.355,0.236,0.18
"P28","Izquierda",0.066,0.061,0.02,0.037
"P28","No sabe",0.115,0.121,0.073,0.214
"P30","A Alberto Fernández",0.027,0.098,0.157,0.045
"P30","A Sergio Massa",0.313,0.037,0.179,0.213
"P30","A algún candidato del peronismo",0.485,0.719,0.441,0.358
"P30","A algún candidato del kirchnerismo",0.175,0.146,0.223,0.384
"P31","A Alberto Fernández",0.034,0.008,0.149,0.162
"P31","A Sergio Massa",0.187,0.186,0.151,0.27
"P31","A algún candidato del peronismo",0.735,0.655,0.539,0.331
"P31","A Cristina Fernández de Kirchner",0.044,0.151,0.161,0.237
