"var","categoria","Que continúe el intendente Julio Zamora","Que continúe Julio Zamora pero con mejoras","Que cambie Julio Zamora pero que se mantengan los avances","Que cambie el intendente Julio Zamora"
"P07","Al candidato del Frente de Todos",0.751,0.566,0.248,0.094
"P07","Al candidato de Juntos por el Cambio",0.102,0.168,0.348,0.423
"P07","Al candidato de los liberales - libertarios",0.025,0.12,0.189,0.352
"P07","Al candidato de la Izquierda",0.01,0.063,0.074,0.02
"P07","A otro candidato",0.034,0.009,0.033,0.043
"P07","No sabe",0.078,0.074,0.108,0.068
"P08","A Julio Zamora por el Frente de Todos",0.827,0.46,0.178,0.003
"P08","A Malena Galmarini por el Frente de Todos",0.063,0.223,0.162,0.129
"P08","A Segundo Cernadas por Cambiemos",0.071,0.107,0.249,0.306
"P08","A Nicolás Massot por Cambiemos",0.022,0.053,0.132,0.154
"P08","Al candidato de los liberales libertarios",0.005,0.072,0.137,0.318
"P08","A Paula Akerfeld por el Frente de Izquierda",0,0.033,0.066,0.027
"P08","No sabe",0.012,0.052,0.076,0.063
"P10","A Julio Zamora por el Frente de Todos",0.828,0.614,0.169,0.046
"P10","A Segundo Cernadas por Cambiemos",0.059,0.129,0.404,0.453
"P10","Al candidato de los liberales libertarios",0.054,0.096,0.153,0.294
"P10","A Paula Akerfeld por el Frente de Izquierda",0.006,0.066,0.072,0.042
"P10","No sabe",0.053,0.095,0.202,0.165
"P12","A Malena Galmarini por el Frente de Todos",0.491,0.366,0.227,0.098
"P12","A Segundo Cernadas por Cambiemos",0.133,0.227,0.358,0.438
"P12","Al candidato de los liberales libertarios",0.098,0.161,0.151,0.356
"P12","A Paula Akerfeld por el Frente de Izquierda",0.032,0.096,0.074,0.02
"P12","No sabe",0.246,0.15,0.19,0.088
"P14","Muy buena",0.162,0.113,0.075,0.045
"P14","Buena",0.185,0.18,0.135,0.039
"P14","Ni buena ni mala",0.25,0.307,0.278,0.091
"P14","Mala",0.158,0.147,0.229,0.179
"P14","Muy mala",0.117,0.127,0.246,0.564
"P14","No sabe",0.128,0.126,0.037,0.082
"P15","Muy buena",0.651,0.217,0.07,0.017
"P15","Buena",0.182,0.414,0.268,0.058
"P15","Ni buena ni mala",0.102,0.237,0.446,0.273
"P15","Mala",0.008,0.079,0.102,0.291
"P15","Muy mala",0.008,0.009,0.07,0.339
"P15","No sabe",0.049,0.044,0.044,0.022
"P16","Muy buena",0.099,0.053,0.119,0.234
"P16","Buena",0.109,0.174,0.203,0.208
"P16","Ni buena ni mala",0.256,0.301,0.25,0.245
