"var","categoria","Son lo mismo, ambos son de Massa","Son aliados en el Frente de Todos pero compiten","Son enemigos porque Zamora traicionó a Massa","No sabe"
"P07","Al candidato del Frente de Todos",0.173,0.479,0.349,0.344
"P07","Al candidato de Juntos por el Cambio",0.43,0.227,0.35,0.204
"P07","Al candidato de los liberales - libertarios",0.293,0.185,0.193,0.196
"P07","Al candidato de la Izquierda",0.018,0.037,0.01,0.062
"P07","A otro candidato",0.04,0.025,0.053,0.016
"P07","No sabe",0.046,0.047,0.045,0.178
"P08","A Julio Zamora por el Frente de Todos",0.143,0.342,0.216,0.395
"P08","A Malena Galmarini por el Frente de Todos",0.118,0.196,0.17,0.066
"P08","A Segundo Cernadas por Cambiemos",0.324,0.173,0.214,0.124
"P08","A Nicolás Massot por Cambiemos",0.103,0.055,0.197,0.079
"P08","Al candidato de los liberales libertarios",0.267,0.17,0.105,0.179
"P08","A Paula Akerfeld por el Frente de Izquierda",0.015,0.033,0.027,0.054
"P08","No sabe",0.03,0.031,0.071,0.103
"P10","A Julio Zamora por el Frente de Todos",0.138,0.496,0.308,0.331
"P10","A Segundo Cernadas por Cambiemos",0.449,0.219,0.361,0.199
"P10","Al candidato de los liberales libertarios",0.239,0.164,0.149,0.19
"P10","A Paula Akerfeld por el Frente de Izquierda",0.023,0.016,0.065,0.069
"P10","No sabe",0.151,0.105,0.117,0.211
"P12","A Malena Galmarini por el Frente de Todos",0.143,0.372,0.25,0.213
"P12","A Segundo Cernadas por Cambiemos",0.433,0.251,0.371,0.25
"P12","Al candidato de los liberales libertarios",0.311,0.198,0.254,0.182
"P12","A Paula Akerfeld por el Frente de Izquierda",0.023,0.049,0.013,0.087
"P12","No sabe",0.09,0.13,0.112,0.268
"P14","Muy buena",0.047,0.101,0.154,0.02
"P14","Buena",0.074,0.197,0.069,0.116
"P14","Ni buena ni mala",0.106,0.229,0.14,0.322
"P14","Mala",0.213,0.194,0.175,0.104
"P14","Muy mala",0.503,0.221,0.447,0.194
"P14","No sabe",0.057,0.058,0.015,0.244
"P15","Muy buena",0.099,0.192,0.161,0.24
"P15","Buena",0.109,0.261,0.19,0.219
