"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"A Julio Zamora por el Frente de Todos",0.284,0.262,0.305,0.213,0.302,0.312,0.292,0.316,0.316,0.195,0.269,0.315,0.285,0.489,0.139,0.238
"A Malena Galmarini por el Frente de Todos",0.149,0.172,0.127,0.225,0.144,0.1,0.13,0.185,0.142,0.121,0.107,0.086,0.212,0.241,0.122,0.113
"A Segundo Cernadas por Cambiemos",0.217,0.196,0.238,0.139,0.224,0.243,0.276,0.191,0.203,0.27,0.263,0.168,0.194,0.12,0.35,0.2
"A Nicolás Massot por Cambiemos",0.097,0.076,0.118,0.107,0.058,0.141,0.123,0.092,0.063,0.157,0.105,0.075,0.097,0.024,0.173,0.157
"Al candidato de los liberales libertarios",0.157,0.216,0.099,0.256,0.164,0.111,0.061,0.129,0.17,0.168,0.162,0.184,0.143,0.069,0.164,0.038
"A Paula Akerfeld por el Frente de Izquierda",0.028,0.035,0.02,0.026,0.032,0.022,0.025,0.053,0.015,0.02,0.014,0.096,0.014,0.01,0.004,0.197
"No sabe",0.068,0.043,0.093,0.034,0.076,0.071,0.093,0.034,0.091,0.069,0.08,0.076,0.055,0.047,0.048,0.057
