"var","categoria","A Julio Zamora por el Frente de Todos","A Malena Galmarini por el Frente de Todos","A Segundo Cernadas por Cambiemos","A Nicolás Massot por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P24","El estado de las escuelas y la educación",0.117,0.061,0.007,0.015,0.017,0.011,0.184
"P24","El sistema de salud",0.146,0.11,0.056,0.051,0.077,0.044,0.1
"P24","El deporte y la cultura",0.096,0.202,0.119,0.045,0.163,0.103,0.052
"P24","La obra pública",0.063,0.051,0.031,0.07,0.039,0.223,0.031
"P24","La luminaria",0.029,0.056,0.087,0.054,0.12,0.017,0.144
"P24","No sabe",0.03,0.205,0.201,0.155,0.273,0.278,0.294
"P25","La seguridad",0.175,0.038,0.124,0.155,0.213,0.091,0.07
"P25","El tránsito",0.079,0.104,0.089,0.079,0.074,0.292,0.004
"P25","El arreglo de las calles",0.17,0.283,0.249,0.162,0.177,0.087,0.064
"P25","El estado de las escuelas y la educación",0.167,0.247,0.119,0.303,0.188,0.28,0.204
"P25","El sistema de salud",0.186,0.204,0.227,0.145,0.123,0.068,0.199
"P25","El deporte y la cultura",0.026,0.028,0.018,0,0.013,0.031,0.011
"P25","La obra pública",0.04,0.006,0.068,0.031,0.027,0.01,0.097
"P25","La luminaria",0.018,0.018,0.034,0.05,0.03,0.014,0.011
"P25","No sabe",0.139,0.072,0.072,0.075,0.155,0.127,0.34
"P26","Agua corriente y cloacas",0.418,0.322,0.473,0.465,0.461,0.118,0.297
"P26","Energía eléctrica",0.102,0.158,0.193,0.259,0.187,0.117,0.22
"P26","Red de gas natural",0.073,0.076,0.054,0.011,0.037,0.236,0.037
"P26","Recolección de residuos",0.124,0.237,0.117,0.168,0.147,0.336,0.219
"P26","Ninguno",0.283,0.207,0.163,0.097,0.168,0.193,0.227
"P27","Los robos",0.174,0.278,0.261,0.231,0.373,0.425,0.142
"P27","El narcotráfico",0.344,0.316,0.375,0.346,0.316,0.364,0.246
"P27","La ausencia de patrulleros y personal policial",0.176,0.091,0.196,0.199,0.122,0.056,0.305
"P27","Otro",0.129,0.175,0.134,0.185,0.133,0.132,0.21
"P27","Ninguno",0.177,0.14,0.034,0.039,0.056,0.023,0.097
"P28","Frente de Todos y el peronismo",0.533,0.618,0.068,0.17,0.062,0.167,0.158
"P28","Cambiemos",0.151,0.131,0.67,0.633,0.026,0.065,0.242
"P28","Liberales Libertarios",0.141,0.116,0.188,0.082,0.813,0.09,0.025
"P28","Izquierda",0.021,0.069,0.012,0.042,0.006,0.516,0
"P28","No sabe",0.154,0.066,0.062,0.073,0.093,0.162,0.575
"P30","A Alberto Fernández",0.11,0,0.187,0.109,0.035,0,0.027
"P30","A Sergio Massa",0.411,0.111,0.044,0.425,0.054,0,0.158
"P30","A algún candidato del peronismo",0.148,0.112,0.727,0.466,0.796,0.18,0.622
"P30","A algún candidato del kirchnerismo",0.331,0.777,0.042,0,0.115,0.82,0.193
"P31","A Alberto Fernández",0.214,0,0.186,0.043,0.033,0,0.028
"P31","A Sergio Massa",0.401,0.125,0.195,0.098,0.077,0,0.212
"P31","A algún candidato del peronismo",0.125,0.48,0.609,0.859,0.89,0.215,0.551
"P31","A Cristina Fernández de Kirchner",0.26,0.395,0.01,0,0,0.785,0.209
"P32","A Horacio Rodriguez Larreta",0.403,0.22,0.237,0.207,0.097,0.693,0.114
"P32","A Mauricio Macri",0.043,0.056,0.209,0.188,0.038,0.132,0.039
"P32","A Patricia Bullrich",0.116,0.102,0.435,0.514,0.831,0,0.4
"P32","A Facundo Manes",0.173,0.538,0.044,0,0.027,0.175,0.212
"P32","A Gerardo Morales",0.265,0.084,0.075,0.091,0.007,0,0.235
"P33","Seguro lo votaria",0.16,0.083,0.26,0.239,0.533,0.293,0.123
"P33","Quizás lo votaría",0.194,0.32,0.226,0.209,0.247,0.054,0.244
"P33","Nunca lo votaría",0.646,0.597,0.514,0.552,0.22,0.653,0.633
"P34","Muy buena",0.114,0.018,0.075,0.033,0.045,0.018,0.043
"P34","Buena",0.243,0.185,0.06,0.023,0.016,0.479,0.049
"P34","Ni buena ni mala",0.281,0.307,0.014,0.051,0.033,0.013,0.112
"P34","Mala",0.107,0.214,0.116,0.088,0.055,0.069,0.108
"P34","Muy mala",0.251,0.236,0.732,0.805,0.849,0.421,0.651
"P34","No sabe",0.004,0.04,0.003,0,0.002,0,0.037
"P35","Muy buena",0.063,0.012,0.377,0.323,0.097,0.047,0.133
"P35","Buena",0.073,0.099,0.273,0.226,0.199,0.051,0.18
"P35","Ni buena ni mala",0.191,0.13,0.16,0.209,0.176,0.009,0.103
"P35","Mala",0.197,0.069,0.048,0.038,0.331,0.08,0.195
"P35","Muy mala",0.432,0.684,0.14,0.192,0.197,0.803,0.389
"P35","No sabe",0.044,0.006,0.002,0.012,0,0.01,0
"P36","Muy buena",0.355,0.444,0.041,0.119,0.024,0.255,0.282
"P36","Buena",0.072,0.05,0.057,0.017,0.006,0.308,0.036
"P36","Ni buena ni mala",0.122,0.127,0.051,0.013,0.009,0,0.041
"P36","Mala",0.072,0.111,0.096,0.06,0.076,0.029,0.108
"P36","Muy mala",0.33,0.262,0.75,0.791,0.885,0.397,0.533
"P36","No sabe",0.049,0.006,0.005,0,0,0.011,0
"P37","Muy buena",0.044,0.018,0.193,0.183,0.012,0,0.118
"P37","Buena",0.195,0.215,0.281,0.191,0.111,0.121,0.142
"P37","Ni buena ni mala",0.162,0.094,0.262,0.271,0.195,0.069,0.203
"P37","Mala",0.124,0.196,0.12,0.103,0.153,0.019,0.042
"P37","Muy mala",0.41,0.46,0.138,0.224,0.529,0.572,0.293
"P37","No sabe",0.065,0.017,0.006,0.028,0,0.219,0.202
"P38","Muy buena",0.141,0.152,0.04,0.121,0,0,0.044
"P38","Buena",0.264,0.373,0.085,0.013,0.031,0,0.031
"P38","Ni buena ni mala",0.229,0.139,0.161,0.093,0.06,0.122,0.173
"P38","Mala",0.072,0.063,0.113,0.211,0.213,0.05,0.118
"P38","Muy mala",0.267,0.269,0.601,0.562,0.696,0.634,0.504
"P38","No sabe",0.027,0.004,0,0,0,0.194,0.13
"P39","Muy buena",0.082,0.025,0.496,0.479,0.344,0.047,0.272
"P39","Buena",0.096,0.118,0.255,0.248,0.13,0.122,0.114
"P39","Ni buena ni mala",0.21,0.146,0.123,0.2,0.174,0.119,0.147
"P39","Mala",0.074,0.098,0.05,0.007,0.148,0,0.035
"P39","Muy mala",0.51,0.613,0.065,0.054,0.183,0.698,0.241
"P39","No sabe",0.028,0,0.011,0.012,0.021,0.014,0.191
"P40","Muy buena",0.135,0.091,0.186,0.145,0.641,0.171,0.042
"P40","Buena",0.053,0.035,0.233,0.169,0.238,0.083,0.105
"P40","Ni buena ni mala",0.192,0.18,0.275,0.367,0.084,0.062,0.215
"P40","Mala",0.094,0.108,0.171,0.058,0.016,0.067,0.125
"P40","Muy mala",0.454,0.552,0.115,0.213,0,0.603,0.3
"P40","No sabe",0.072,0.034,0.02,0.048,0.021,0.014,0.213
