"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de los liberales - libertarios","Al candidato de la Izquierda","A otro candidato","No sabe"
"P08","A Julio Zamora por el Frente de Todos",0.636,0.085,0.061,0.061,0.164,0.309
"P08","A Malena Galmarini por el Frente de Todos",0.245,0.148,0.066,0.124,0.072,0.044
"P08","A Segundo Cernadas por Cambiemos",0.069,0.514,0.074,0.042,0.043,0.167
"P08","A Nicolás Massot por Cambiemos",0.016,0.218,0.067,0.168,0.023,0.045
"P08","Al candidato de los liberales libertarios",0.011,0.016,0.716,0,0.174,0.049
"P08","A Paula Akerfeld por el Frente de Izquierda",0.003,0,0.013,0.546,0.036,0.058
"P08","No sabe",0.02,0.019,0.003,0.059,0.488,0.328
"P10","A Julio Zamora por el Frente de Todos",0.72,0.104,0.081,0.262,0.166,0.298
"P10","A Segundo Cernadas por Cambiemos",0.104,0.757,0.102,0.022,0.101,0.189
"P10","Al candidato de los liberales libertarios",0.052,0.048,0.659,0.009,0.034,0.022
"P10","A Paula Akerfeld por el Frente de Izquierda",0.034,0.031,0.03,0.594,0.042,0.007
"P10","No sabe",0.09,0.06,0.128,0.113,0.657,0.484
"P12","A Malena Galmarini por el Frente de Todos",0.57,0.111,0.022,0.084,0.107,0.11
"P12","A Segundo Cernadas por Cambiemos",0.179,0.731,0.154,0.021,0.135,0.167
"P12","Al candidato de los liberales libertarios",0.073,0.094,0.757,0.031,0.125,0.031
"P12","A Paula Akerfeld por el Frente de Izquierda",0.051,0.007,0.014,0.535,0.055,0.009
"P12","No sabe",0.127,0.057,0.053,0.329,0.578,0.683
"P14","Muy buena",0.204,0.019,0.04,0.044,0.016,0.003
"P14","Buena",0.234,0.063,0.015,0.045,0.014,0.063
"P14","Ni buena ni mala",0.219,0.125,0.177,0.242,0.346,0.321
"P14","Mala",0.126,0.249,0.182,0.209,0.151,0.164
"P14","Muy mala",0.129,0.483,0.504,0.143,0.308,0.275
"P14","No sabe",0.088,0.061,0.082,0.317,0.165,0.174
"P15","Muy buena",0.395,0.052,0.028,0.012,0.055,0.14
"P15","Buena",0.298,0.136,0.106,0.323,0.055,0.235
"P15","Ni buena ni mala",0.209,0.36,0.231,0.316,0.193,0.268
"P15","Mala",0.054,0.222,0.262,0.099,0.197,0.118
"P15","Muy mala",0.029,0.202,0.342,0.051,0.256,0.157
"P15","No sabe",0.015,0.028,0.031,0.199,0.244,0.082
"P16","Muy buena",0.06,0.342,0.073,0.021,0.061,0.105
"P16","Buena",0.114,0.355,0.105,0.009,0.072,0.198
"P16","Ni buena ni mala",0.283,0.207,0.288,0.368,0.348,0.222
"P16","Mala",0.175,0.017,0.267,0.116,0.032,0.104
"P16","Muy mala",0.241,0.04,0.16,0.238,0.152,0.066
"P16","No sabe",0.127,0.039,0.107,0.248,0.335,0.305
"P17","Muy buena",0.059,0.018,0.031,0.067,0.036,0.027
"P17","Buena",0.039,0.038,0.116,0.027,0.009,0.008
"P17","Ni buena ni mala",0.25,0.346,0.251,0.295,0.246,0.282
"P17","Mala",0.076,0.069,0.166,0.028,0.011,0.013
"P17","Muy mala",0.074,0.081,0.118,0.074,0.181,0.066
"P17","No sabe",0.502,0.448,0.318,0.509,0.517,0.604
"P18","Muy buena",0.027,0.117,0.104,0.023,0.011,0.043
"P18","Buena",0.075,0.188,0.085,0.031,0.053,0.075
"P18","Ni buena ni mala",0.284,0.377,0.368,0.223,0.424,0.159
"P18","Mala",0.126,0.041,0.227,0.324,0.063,0.055
"P18","Muy mala",0.183,0.079,0.02,0.09,0.083,0.075
"P18","No sabe",0.305,0.198,0.196,0.309,0.366,0.593
"P19","Muy buena",0.355,0.04,0.022,0,0.056,0.087
"P19","Buena",0.351,0.166,0.124,0.039,0.047,0.256
"P19","Ni buena ni mala",0.154,0.31,0.274,0.552,0.465,0.259
"P19","Mala",0.073,0.281,0.282,0.034,0.215,0.287
"P19","Muy mala",0.027,0.17,0.237,0.103,0.143,0.06
"P19","No sabe",0.04,0.033,0.061,0.272,0.074,0.051
"P20","Que continúe el intendente Julio Zamora",0.357,0.052,0.018,0.04,0.162,0.155
"P20","Que continúe Julio Zamora pero con mejoras",0.377,0.121,0.118,0.367,0.061,0.205
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.141,0.213,0.159,0.364,0.188,0.257
"P20","Que cambie el intendente Julio Zamora",0.125,0.614,0.705,0.229,0.589,0.383
"P21","Es kirchnerista",0.168,0.156,0.169,0.026,0.261,0.043
"P21","Forma parte del Frente de Todos",0.392,0.212,0.192,0.249,0.119,0.069
"P21","Es un hombre de Massa",0.135,0.241,0.114,0.025,0.086,0.133
"P21","Es un peronista independiente de centro",0.111,0.112,0.057,0.01,0.122,0.124
"P21","Es un oportunista y está donde le conviene",0.105,0.191,0.314,0.321,0.34,0.249
"P21","No sabe",0.089,0.088,0.154,0.369,0.072,0.382
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.115,0.101,0.309,0.113,0.286,0.155
"P22","Son aliados tácticos pero lo ocultan",0.121,0.095,0.271,0.163,0.219,0.109
"P22","Son adversarios políticos",0.436,0.557,0.228,0.157,0.274,0.216
"P22","No sabe",0.328,0.247,0.192,0.567,0.221,0.52
