"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"A Horacio Rodriguez Larreta",0.258,0.222,0.287,0.335,0.305,0.215,0.144,0.264,0.276,0.227,0.361,0.283,0.162,0.222,0.177,0.689
"A Mauricio Macri",0.106,0.127,0.089,0.046,0.109,0.105,0.153,0.085,0.084,0.156,0.103,0.05,0.13,0.062,0.161,0.065
"A Patricia Bullrich",0.384,0.361,0.404,0.503,0.323,0.375,0.45,0.346,0.351,0.462,0.4,0.508,0.326,0.163,0.563,0.156
"A Facundo Manes",0.135,0.177,0.099,0.116,0.11,0.188,0.126,0.112,0.17,0.105,0.055,0.109,0.21,0.297,0.057,0.08
"A Gerardo Morales",0.117,0.113,0.121,0,0.153,0.117,0.127,0.193,0.119,0.05,0.081,0.05,0.172,0.256,0.042,0.01
