"var","categoria","Agua corriente y cloacas","Energía eléctrica","Red de gas natural","Recolección de residuos","Ninguno"
"P07","Al candidato del Frente de Todos",0.31,0.238,0.593,0.267,0.477
"P07","Al candidato de Juntos por el Cambio",0.339,0.347,0.123,0.263,0.232
"P07","Al candidato de los liberales - libertarios",0.24,0.257,0.085,0.283,0.145
"P07","Al candidato de la Izquierda",0.017,0.013,0.111,0.065,0.035
"P07","A otro candidato",0.025,0.023,0.061,0.031,0.054
"P07","No sabe",0.069,0.122,0.027,0.091,0.057
"P08","A Julio Zamora por el Frente de Todos",0.276,0.166,0.336,0.213,0.384
"P08","A Malena Galmarini por el Frente de Todos",0.112,0.135,0.185,0.214,0.149
"P08","A Segundo Cernadas por Cambiemos",0.243,0.245,0.191,0.156,0.172
"P08","A Nicolás Massot por Cambiemos",0.111,0.153,0.018,0.105,0.048
"P08","Al candidato de los liberales libertarios",0.209,0.208,0.116,0.173,0.156
"P08","A Paula Akerfeld por el Frente de Izquierda",0.009,0.021,0.12,0.064,0.029
"P08","No sabe",0.04,0.072,0.034,0.075,0.062
"P10","A Julio Zamora por el Frente de Todos",0.292,0.156,0.511,0.315,0.465
"P10","A Segundo Cernadas por Cambiemos",0.321,0.393,0.087,0.296,0.229
"P10","Al candidato de los liberales libertarios",0.231,0.28,0.036,0.125,0.124
"P10","A Paula Akerfeld por el Frente de Izquierda",0.023,0.015,0.129,0.082,0.049
"P10","No sabe",0.133,0.156,0.237,0.182,0.133
"P12","A Malena Galmarini por el Frente de Todos",0.236,0.201,0.3,0.219,0.316
"P12","A Segundo Cernadas por Cambiemos",0.372,0.358,0.214,0.306,0.249
"P12","Al candidato de los liberales libertarios",0.225,0.272,0.103,0.274,0.232
"P12","A Paula Akerfeld por el Frente de Izquierda",0.025,0.018,0.192,0.058,0.043
"P12","No sabe",0.142,0.151,0.191,0.143,0.16
"P14","Muy buena",0.087,0.05,0.019,0.079,0.109
"P14","Buena",0.088,0.135,0.229,0.1,0.143
"P14","Ni buena ni mala",0.161,0.168,0.162,0.17,0.303
"P14","Mala",0.213,0.172,0.254,0.219,0.063
"P14","Muy mala",0.362,0.427,0.16,0.382,0.277
"P14","No sabe",0.089,0.048,0.176,0.05,0.105
"P15","Muy buena",0.142,0.138,0.288,0.158,0.235
"P15","Buena",0.186,0.163,0.201,0.15,0.276
"P15","Ni buena ni mala",0.257,0.24,0.352,0.151,0.24
"P15","Mala",0.165,0.244,0.087,0.222,0.09
"P15","Muy mala",0.211,0.191,0.072,0.27,0.106
"P15","No sabe",0.039,0.024,0,0.049,0.053
"P16","Muy buena",0.158,0.205,0.044,0.13,0.115
"P16","Buena",0.235,0.161,0.097,0.127,0.147
"P16","Ni buena ni mala",0.208,0.239,0.448,0.211,0.316
"P16","Mala",0.152,0.183,0.163,0.174,0.093
