"var","categoria","A Malena Galmarini por el Frente de Todos","A Segundo Cernadas por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.776,0.177,0.111,0.376,0.263
"P07","Al candidato de Juntos por el Cambio",0.139,0.669,0.132,0.044,0.109
"P07","Al candidato de los liberales - libertarios",0.018,0.096,0.718,0.065,0.069
"P07","Al candidato de la Izquierda",0.013,0.002,0.005,0.448,0.076
"P07","A otro candidato",0.018,0.016,0.023,0.05,0.146
"P07","No sabe",0.036,0.04,0.011,0.017,0.337
"P08","A Julio Zamora por el Frente de Todos",0.463,0.187,0.145,0.287,0.415
"P08","A Malena Galmarini por el Frente de Todos",0.411,0.061,0.013,0.13,0.073
"P08","A Segundo Cernadas por Cambiemos",0.055,0.503,0.063,0.033,0.07
"P08","A Nicolás Massot por Cambiemos",0.046,0.203,0.057,0.149,0.043
"P08","Al candidato de los liberales libertarios",0.003,0.014,0.705,0.009,0.057
"P08","A Paula Akerfeld por el Frente de Izquierda",0.002,0.003,0.012,0.384,0.057
"P08","No sabe",0.02,0.029,0.005,0.008,0.285
"P10","A Julio Zamora por el Frente de Todos",0.635,0.212,0.139,0.25,0.389
"P10","A Segundo Cernadas por Cambiemos",0.143,0.718,0.102,0.033,0.034
"P10","Al candidato de los liberales libertarios",0.086,0.017,0.671,0.019,0.04
"P10","A Paula Akerfeld por el Frente de Izquierda",0.022,0.03,0,0.652,0.013
"P10","No sabe",0.114,0.023,0.088,0.046,0.524
"P14","Muy buena",0.275,0.032,0.002,0.034,0.047
"P14","Buena",0.372,0.038,0.01,0.028,0.015
"P14","Ni buena ni mala",0.145,0.145,0.179,0.272,0.389
"P14","Mala",0.045,0.283,0.186,0.317,0.117
"P14","Muy mala",0.083,0.444,0.553,0.178,0.205
"P14","No sabe",0.08,0.058,0.07,0.171,0.227
"P15","Muy buena",0.32,0.107,0.088,0.184,0.141
"P15","Buena",0.321,0.172,0.083,0.269,0.179
"P15","Ni buena ni mala",0.212,0.281,0.272,0.366,0.289
"P15","Mala",0.08,0.21,0.267,0.047,0.071
"P15","Muy mala",0.046,0.204,0.271,0.098,0.158
"P15","No sabe",0.021,0.026,0.019,0.036,0.162
"P16","Muy buena",0.049,0.338,0.078,0.077,0.036
"P16","Buena",0.162,0.351,0.087,0.015,0.071
"P16","Ni buena ni mala",0.287,0.182,0.321,0.369,0.276
"P16","Mala",0.147,0.05,0.239,0.211,0.116
"P16","Muy mala",0.269,0.015,0.156,0.187,0.202
"P16","No sabe",0.086,0.064,0.119,0.141,0.299
"P17","Muy buena",0.076,0.028,0.021,0.042,0.02
"P17","Buena",0.081,0.039,0.075,0.03,0.002
"P17","Ni buena ni mala",0.243,0.378,0.268,0.297,0.166
"P17","Mala",0.057,0.072,0.144,0.135,0.044
"P17","Muy mala",0.088,0.075,0.095,0.155,0.091
"P17","No sabe",0.455,0.408,0.397,0.341,0.677
"P18","Muy buena",0.036,0.108,0.069,0.031,0.064
"P18","Buena",0.054,0.183,0.12,0.037,0.041
"P18","Ni buena ni mala",0.283,0.365,0.427,0.339,0.143
"P18","Mala",0.148,0.038,0.169,0.186,0.169
"P18","Muy mala",0.157,0.074,0.038,0.196,0.129
"P18","No sabe",0.322,0.232,0.177,0.211,0.454
"P19","Muy buena",0.327,0.052,0.083,0.039,0.164
"P19","Buena",0.324,0.214,0.125,0.368,0.133
"P19","Ni buena ni mala",0.181,0.285,0.282,0.256,0.314
"P19","Mala",0.084,0.264,0.245,0.068,0.233
"P19","Muy mala",0.045,0.167,0.2,0.079,0.065
"P19","No sabe",0.039,0.018,0.065,0.19,0.091
"P20","Que continúe el intendente Julio Zamora",0.317,0.063,0.065,0.101,0.264
"P20","Que continúe Julio Zamora pero con mejoras",0.33,0.15,0.15,0.43,0.226
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.175,0.201,0.119,0.285,0.243
"P20","Que cambie el intendente Julio Zamora",0.178,0.586,0.666,0.184,0.267
"P21","Es kirchnerista",0.189,0.158,0.133,0.031,0.154
"P21","Forma parte del Frente de Todos",0.421,0.216,0.183,0.298,0.163
"P21","Es un hombre de Massa",0.115,0.254,0.143,0.069,0.056
"P21","Es un peronista independiente de centro",0.098,0.104,0.088,0.151,0.077
"P21","Es un oportunista y está donde le conviene",0.085,0.196,0.312,0.292,0.216
"P21","No sabe",0.092,0.072,0.141,0.159,0.334
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.131,0.081,0.239,0.12,0.28
"P22","Son aliados tácticos pero lo ocultan",0.124,0.092,0.255,0.118,0.162
"P22","Son adversarios políticos",0.41,0.546,0.317,0.272,0.198
"P22","No sabe",0.335,0.281,0.189,0.49,0.36
"P23","Son lo mismo, ambos son de Massa",0.166,0.374,0.37,0.155,0.177
"P23","Son aliados en el Frente de Todos pero compiten",0.412,0.206,0.224,0.316,0.243
"P23","Son enemigos porque Zamora traicionó a Massa",0.229,0.252,0.237,0.07,0.172
"P23","No sabe",0.193,0.168,0.169,0.459,0.408
"P24","La seguridad",0.257,0.23,0.259,0.033,0.162
"P24","El tránsito",0.08,0.077,0.03,0.139,0.116
"P24","El arreglo de las calles",0.114,0.163,0.119,0.034,0.149
"P24","El estado de las escuelas y la educación",0.065,0.052,0.014,0.071,0.121
"P24","El sistema de salud",0.135,0.066,0.072,0.073,0.126
"P24","El deporte y la cultura",0.177,0.071,0.139,0.218,0.079
"P24","La obra pública",0.063,0.039,0.057,0.222,0.018
"P24","La luminaria",0.033,0.083,0.109,0.019,0.057
"P24","No sabe",0.076,0.219,0.201,0.191,0.172
"P25","La seguridad",0.129,0.131,0.149,0.131,0.176
"P25","El tránsito",0.074,0.057,0.107,0.179,0.107
"P25","El arreglo de las calles",0.191,0.198,0.252,0.075,0.136
"P25","El estado de las escuelas y la educación",0.172,0.216,0.185,0.262,0.161
"P25","El sistema de salud",0.211,0.22,0.129,0.1,0.136
"P25","El deporte y la cultura",0.028,0.014,0.007,0.121,0.004
"P25","La obra pública",0.038,0.052,0.024,0.007,0.052
"P25","La luminaria",0.023,0.032,0.025,0.01,0.029
"P25","No sabe",0.134,0.08,0.122,0.115,0.199
"P26","Agua corriente y cloacas",0.394,0.473,0.396,0.242,0.389
"P26","Energía eléctrica",0.136,0.185,0.194,0.07,0.168
"P26","Red de gas natural",0.072,0.039,0.026,0.27,0.076
"P26","Recolección de residuos",0.141,0.15,0.186,0.216,0.152
"P26","Ninguno",0.257,0.153,0.198,0.202,0.215
"P27","Los robos",0.244,0.27,0.303,0.363,0.14
"P27","El narcotráfico",0.297,0.363,0.347,0.204,0.368
"P27","La ausencia de patrulleros y personal policial",0.123,0.169,0.188,0.057,0.213
"P27","Otro",0.176,0.155,0.112,0.146,0.14
"P27","Ninguno",0.16,0.043,0.05,0.23,0.139
"P28","Frente de Todos y el peronismo",0.732,0.117,0.066,0.426,0.234
"P28","Cambiemos",0.132,0.646,0.079,0.096,0.126
"P28","Liberales Libertarios",0.034,0.148,0.811,0.046,0.064
"P28","Izquierda",0,0.015,0.007,0.423,0.109
"P28","No sabe",0.102,0.074,0.037,0.009,0.467
"P30","A Alberto Fernández",0.053,0.17,0.09,0,0
"P30","A Sergio Massa",0.512,0.074,0.101,0,0.115
"P30","A algún candidato del peronismo",0.069,0.661,0.731,0.232,0.414
"P30","A algún candidato del kirchnerismo",0.366,0.095,0.078,0.768,0.471
"P31","A Alberto Fernández",0.032,0.144,0.09,0,0.22
"P31","A Sergio Massa",0.397,0.169,0.111,0,0.12
"P31","A algún candidato del peronismo",0.345,0.593,0.761,0.093,0.528
"P31","A Cristina Fernández de Kirchner",0.226,0.094,0.038,0.907,0.132
"P32","A Horacio Rodriguez Larreta",0.306,0.295,0.124,0.505,0.23
"P32","A Mauricio Macri",0.063,0.191,0.048,0,0.048
"P32","A Patricia Bullrich",0.1,0.389,0.79,0.038,0.161
"P32","A Facundo Manes",0.355,0.025,0.026,0.457,0.246
"P32","A Gerardo Morales",0.176,0.1,0.012,0,0.315
"P33","Seguro lo votaria",0.05,0.208,0.637,0.071,0.087
"P33","Quizás lo votaría",0.277,0.199,0.208,0.026,0.329
"P33","Nunca lo votaría",0.673,0.593,0.155,0.903,0.584
"P34","Muy buena",0.074,0.082,0.045,0.111,0.019
"P34","Buena",0.268,0.061,0.02,0.425,0.157
"P34","Ni buena ni mala",0.299,0.046,0.048,0.113,0.267
"P34","Mala",0.165,0.111,0.065,0.044,0.115
"P34","Muy mala",0.174,0.695,0.82,0.307,0.418
"P34","No sabe",0.02,0.005,0.002,0,0.024
"P35","Muy buena",0.08,0.299,0.119,0.016,0.056
"P35","Buena",0.083,0.216,0.216,0.064,0.109
"P35","Ni buena ni mala",0.112,0.2,0.222,0,0.108
"P35","Mala",0.128,0.07,0.247,0.026,0.268
"P35","Muy mala",0.581,0.201,0.196,0.894,0.412
"P35","No sabe",0.016,0.014,0,0,0.047
"P36","Muy buena",0.53,0.079,0.039,0.424,0.194
"P36","Buena",0.055,0.053,0.016,0.247,0.068
"P36","Ni buena ni mala",0.126,0.027,0.014,0,0.179
"P36","Mala",0.087,0.106,0.059,0,0.082
"P36","Muy mala",0.167,0.729,0.872,0.329,0.44
"P36","No sabe",0.035,0.006,0,0,0.037
"P37","Muy buena",0.064,0.127,0.056,0.011,0.075
"P37","Buena",0.172,0.3,0.102,0.163,0.147
"P37","Ni buena ni mala",0.133,0.256,0.151,0.043,0.243
"P37","Mala",0.13,0.108,0.134,0.161,0.159
"P37","Muy mala",0.486,0.188,0.522,0.444,0.25
"P37","No sabe",0.015,0.021,0.035,0.178,0.126
"P38","Muy buena",0.246,0.046,0,0.101,0.027
"P38","Buena",0.398,0.085,0.039,0.096,0.086
"P38","Ni buena ni mala",0.201,0.134,0.085,0.257,0.192
"P38","Mala",0.03,0.154,0.17,0.043,0.143
"P38","Muy mala",0.125,0.581,0.706,0.486,0.404
"P38","No sabe",0,0,0,0.017,0.148
"P39","Muy buena",0.096,0.381,0.356,0.049,0.144
"P39","Buena",0.076,0.256,0.16,0.01,0.079
"P39","Ni buena ni mala",0.147,0.176,0.164,0.068,0.225
"P39","Mala",0.057,0.046,0.128,0.05,0.092
"P39","Muy mala",0.609,0.124,0.176,0.823,0.362
"P39","No sabe",0.015,0.017,0.016,0,0.098
"P40","Muy buena",0.067,0.123,0.649,0.134,0.06
"P40","Buena",0.025,0.208,0.207,0,0.079
"P40","Ni buena ni mala",0.15,0.305,0.107,0.03,0.266
"P40","Mala",0.102,0.147,0,0.044,0.132
"P40","Muy mala",0.586,0.184,0.017,0.792,0.335
"P40","No sabe",0.07,0.033,0.02,0,0.128
