"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Zabaleta","Delfino","De Francesco","Chayan","Arguello"
"Unión por la Patria",0.326,0.319,0.333,0.298,0.328,0.369,0.317,0.283,0.338,0.373,0.622,0.16,0.16,0.653,0.063,0.04,0.326,0.127
"Juntos por el Cambio",0.231,0.21,0.25,0.131,0.228,0.301,0.323,0.225,0.211,0.283,0.106,0.538,0.278,0.167,0.603,0.11,0,0
"De los Liberales libertarios",0.12,0.177,0.068,0.145,0.135,0.105,0.065,0.077,0.166,0.093,0.039,0.167,0.152,0.045,0.168,0.547,0,0.615
"De la Izquierda",0.044,0.047,0.041,0.038,0.069,0.007,0.047,0.058,0.02,0.073,0.026,0.009,0.039,0.023,0.041,0,0.619,0.08
"Hacemos por nuestro pais",0.013,0.006,0.019,0.024,0.003,0.025,0,0.004,0.024,0.005,0.016,0.015,0.018,0.003,0.025,0.128,0,0.081
"Otro",0.043,0.032,0.054,0.062,0.035,0.033,0.04,0.028,0.056,0.038,0.054,0.02,0.031,0.017,0.024,0,0,0
"En blanco",0.059,0.07,0.048,0.093,0.041,0.05,0.048,0.086,0.041,0.053,0.058,0.007,0.033,0.032,0.021,0.015,0.055,0.097
"No sabe",0.164,0.139,0.187,0.209,0.161,0.11,0.16,0.239,0.144,0.082,0.079,0.084,0.289,0.06,0.055,0.16,0,0
