"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","En blanco","No sabe"
"P05","Mucho",0.442,0.485,0.354,0.458,0.331,0.2,0.244,0.178,0.154,0.121
"P05","Bastante",0.303,0.22,0.361,0.167,0.354,0.304,0.283,0.243,0.153,0.189
"P05","Poco",0.159,0.185,0.173,0.186,0.16,0.286,0.267,0.196,0.148,0.235
"P05","Nada",0.076,0.066,0.112,0.13,0.139,0.201,0.173,0.309,0.429,0.314
"P05","No sabe",0.02,0.044,0,0.059,0.016,0.009,0.033,0.074,0.116,0.141
"P06","Siempre",0.283,0.168,0.087,0.089,0.286,0.136,0.17,0.18,0.1,0.03
"P06","Casi siempre",0.277,0.318,0.265,0.381,0.235,0.366,0.213,0.088,0.057,0.128
"P06","Casi nunca",0.282,0.374,0.414,0.268,0.306,0.308,0.266,0.224,0.332,0.26
"P06","Nunca, pero esta es una excepción",0.158,0.14,0.234,0.262,0.173,0.19,0.351,0.508,0.511,0.582
"P09","Unión por la Patria",0.742,0.334,0.69,0.59,0.129,0.068,0.103,0.062,0.038,0.081
"P09","Juntos por el Cambio",0.126,0.19,0.084,0.163,0.687,0.703,0.041,0,0.091,0.064
"P09","De los Liberales libertarios",0.009,0.164,0.069,0.066,0.058,0.069,0.674,0,0.077,0
"P09","De la Izquierda",0.031,0.087,0.061,0.023,0.013,0.034,0.007,0.273,0.055,0.05
"P09","Hacemos por nuestro pais",0.035,0.048,0,0.024,0.013,0,0,0,0.03,0
"P09","Otro",0.032,0.021,0.023,0,0.01,0.051,0.072,0,0,0.104
"P09","En blanco",0.007,0.031,0.025,0.071,0.04,0.015,0.065,0.044,0.597,0.05
"P09","No sabe",0.018,0.125,0.048,0.063,0.05,0.06,0.038,0.621,0.112,0.651
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.832,0.38,0.408,0.14,0.077,0.081,0.059,0.048,0.059,0.089
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.107,0.15,0.075,0.041,0.744,0.528,0.029,0,0.079,0.065
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.005,0.104,0.09,0.04,0.097,0.141,0.861,0,0.078,0.052
"P13","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.023,0.027,0.062,0.123,0.014,0,0.009,0.2,0,0.018
"P13","En blanco",0.005,0,0.04,0.269,0,0.035,0.005,0.097,0.67,0.062
"P13","No sabe",0.028,0.339,0.325,0.387,0.068,0.215,0.037,0.655,0.114,0.714
"P16","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.778,0.332,0.443,0.193,0.081,0.159,0.106,0.046,0.046,0.139
