"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","En blanco","No sabe"
"P05","Mucho",0.43,0.287,0.301,0.319,0.255,0.312
"P05","Bastante",0.377,0.331,0.342,0.07,0.074,0.085
"P05","Poco",0.126,0.261,0.193,0.093,0.181,0.198
"P05","Nada",0.067,0.096,0.152,0.39,0.437,0.289
"P05","No sabe",0,0.025,0.012,0.128,0.053,0.116
"P06","Siempre",0.186,0.249,0.183,0.022,0.097,0.1
"P06","Casi siempre",0.338,0.296,0.21,0.21,0.143,0.194
"P06","Casi nunca",0.287,0.32,0.31,0.25,0.367,0.266
"P06","Nunca, pero esta es una excepción",0.189,0.135,0.297,0.518,0.393,0.44
"P09","Unión por la Patria",0.818,0.114,0.152,0.285,0.253,0.304
"P09","Juntos por el Cambio",0.07,0.647,0.168,0,0.164,0.06
"P09","De los Liberales libertarios",0.024,0.11,0.503,0,0,0.057
"P09","De la Izquierda",0.042,0.035,0.02,0.204,0.083,0.058
"P09","Hacemos por nuestro pais",0.006,0.013,0.007,0.051,0,0
"P09","Otro",0.002,0.029,0.053,0,0,0.077
"P09","En blanco",0.008,0.013,0.075,0.07,0.396,0.018
"P09","No sabe",0.03,0.039,0.022,0.39,0.104,0.426
"P10","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.376,0.082,0.085,0.07,0.218,0.155
"P10","Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.061,0.043,0.03,0.087,0.015,0.066
"P10","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.388,0.022,0.074,0.112,0,0.058
"P10","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.057,0.002,0.046,0.051,0.056,0.028
"P10","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.046,0.383,0.136,0,0.111,0.074
"P10","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.01,0.331,0.041,0,0.091,0.015
"P10","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.037,0.096,0.534,0,0.059,0.041
"P10","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.003,0.013,0,0.481,0,0.049
"P10","En blanco",0.01,0.013,0.024,0,0.359,0.009
"P10","No sabe",0.012,0.015,0.03,0.199,0.091,0.505
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.644,0.173,0.055,0.07,0.233,0.194
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.066,0.603,0.141,0,0.111,0.038
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.073,0.107,0.617,0,0.144,0.089
"P13","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.031,0.015,0.04,0.29,0.02,0.015
"P13","En blanco",0.032,0.01,0.062,0.199,0.375,0.015
"P13","No sabe",0.154,0.092,0.085,0.441,0.117,0.649
"P16","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.594,0.197,0.128,0.07,0.233,0.23
"P16","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.079,0.597,0.119,0,0.103,0.033
"P16","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.102,0.125,0.621,0.07,0.053,0.058
"P16","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.03,0.021,0.05,0.22,0.014,0
"P16","En blanco",0.039,0,0.033,0.199,0.46,0.014
"P16","No sabe",0.156,0.06,0.049,0.441,0.137,0.665
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.773,0.129,0.17,0,0,0.057
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.041,0.633,0.187,0.07,0.149,0.038
"P19","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.125,0.113,0.627,0,0.053,0.089
"P19","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.021,0.015,0,0.482,0.014,0.015
"P19","En blanco",0.018,0.014,0,0.448,0.583,0.024
"P19","No sabe",0.022,0.096,0.016,0,0.201,0.777
"P25","Lo votaría",0.271,0.259,0.161,0.071,0.259,0.347
"P25","Puede que lo vote",0.305,0.217,0.102,0.138,0.046,0.005
"P25","Nunca lo votaría",0.3,0.391,0.536,0.344,0.513,0.205
"P25","No sabe",0.124,0.133,0.201,0.447,0.182,0.443
"P26","Lo votaría",0.588,0.151,0.096,0,0.088,0.108
"P26","Puede que lo vote",0.176,0.204,0.193,0.184,0.208,0.086
"P26","Nunca lo votaría",0.148,0.53,0.451,0.416,0.602,0.349
"P26","No sabe",0.088,0.115,0.26,0.4,0.102,0.457
"P27","Lo votaría",0.066,0.337,0.131,0.399,0.056,0.091
"P27","Puede que lo vote",0.088,0.197,0.157,0.048,0.096,0.026
"P27","Nunca lo votaría",0.653,0.299,0.356,0.399,0.73,0.463
"P27","No sabe",0.193,0.167,0.356,0.154,0.118,0.42
"P28","Lo votaría",0.06,0.4,0.204,0.071,0.047,0.148
"P28","Puede que lo vote",0.067,0.282,0.25,0.07,0.152,0.055
"P28","Nunca lo votaría",0.737,0.223,0.245,0.447,0.613,0.445
"P28","No sabe",0.136,0.095,0.301,0.412,0.188,0.352
"P29","Lo votaría",0.042,0.109,0.2,0,0.009,0.074
"P29","Puede que lo vote",0.071,0.187,0.21,0.073,0.015,0.033
"P29","Nunca lo votaría",0.717,0.492,0.297,0.423,0.669,0.467
"P29","No sabe",0.17,0.212,0.293,0.504,0.307,0.426
"P30","Si",0.882,0.94,0.835,0.956,0.976,0.829
"P30","No",0.118,0.06,0.165,0.044,0.024,0.171
