"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","En blanco","No sabe"
"P05","Mucho",0.446,0.312,0.288,0.373,0.235,0.204
"P05","Bastante",0.299,0.339,0.233,0.191,0.087,0.234
"P05","Poco",0.163,0.284,0.23,0.085,0.148,0.195
"P05","Nada",0.069,0.057,0.204,0.291,0.37,0.321
"P05","No sabe",0.023,0.008,0.045,0.06,0.16,0.046
"P06","Siempre",0.184,0.246,0.213,0.132,0.035,0.115
"P06","Casi siempre",0.319,0.275,0.225,0.154,0.102,0.205
"P06","Casi nunca",0.295,0.352,0.228,0.354,0.289,0.344
"P06","Nunca, pero esta es una excepción",0.202,0.127,0.334,0.36,0.574,0.336
"P09","Unión por la Patria",0.778,0.073,0.173,0.319,0.195,0.268
"P09","Juntos por el Cambio",0.064,0.775,0.111,0.074,0.175,0.118
"P09","De los Liberales libertarios",0.025,0.079,0.539,0.026,0.01,0.048
"P09","De la Izquierda",0.038,0.012,0.028,0.385,0.023,0.043
"P09","Hacemos por nuestro pais",0.02,0.012,0.006,0,0,0.025
"P09","Otro",0.041,0.009,0.061,0,0.01,0.032
"P09","En blanco",0.02,0.007,0.036,0.119,0.53,0.033
"P09","No sabe",0.014,0.033,0.046,0.077,0.057,0.433
"P10","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.568,0.099,0.006,0.164,0.017,0.026
"P10","Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.074,0.04,0.035,0.055,0,0.091
"P10","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.208,0.051,0.081,0.328,0.104,0.228
