"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Zabaleta","Delfino","De Francesco","Chayan","Arguello"
"Mucho",0.291,0.307,0.277,0.246,0.318,0.308,0.294,0.252,0.279,0.385,0.385,0.353,0.177,0.43,0.327,0.146,0.37,0.186
"Bastante",0.255,0.239,0.271,0.216,0.246,0.304,0.284,0.144,0.308,0.329,0.288,0.304,0.35,0.298,0.308,0.22,0.073,0.468
"Poco",0.193,0.166,0.218,0.162,0.218,0.209,0.174,0.214,0.186,0.173,0.187,0.215,0.282,0.18,0.217,0.29,0,0
"Nada",0.201,0.216,0.186,0.294,0.164,0.149,0.179,0.285,0.189,0.081,0.091,0.116,0.136,0.067,0.124,0.344,0.372,0.346
"No sabe",0.06,0.072,0.048,0.082,0.054,0.03,0.069,0.105,0.038,0.032,0.049,0.012,0.055,0.025,0.024,0,0.185,0
