"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","En blanco","No sabe"
"P05","Mucho",0.459,0.307,0.27,0.24,0.327,0.202
"P05","Bastante",0.286,0.319,0.322,0.18,0.079,0.23
"P05","Poco",0.156,0.233,0.195,0.11,0.2,0.261
"P05","Nada",0.072,0.141,0.143,0.47,0.356,0.259
"P05","No sabe",0.027,0,0.07,0,0.038,0.048
"P06","Siempre",0.194,0.271,0.213,0.081,0.086,0.092
"P06","Casi siempre",0.354,0.246,0.199,0.141,0.186,0.224
"P06","Casi nunca",0.252,0.343,0.275,0.22,0.409,0.346
"P06","Nunca, pero esta es una excepción",0.2,0.14,0.313,0.558,0.319,0.338
"P09","Unión por la Patria",0.812,0.111,0.124,0.179,0.228,0.297
"P09","Juntos por el Cambio",0.046,0.721,0.188,0.252,0.19,0.134
"P09","De los Liberales libertarios",0.043,0.082,0.529,0.103,0.028,0.005
"P09","De la Izquierda",0.023,0.039,0.037,0.384,0,0.052
"P09","Hacemos por nuestro pais",0.006,0.013,0.006,0,0,0.005
"P09","Otro",0.024,0.013,0.044,0,0.009,0.061
"P09","En blanco",0.02,0,0.047,0,0.5,0.025
"P09","No sabe",0.026,0.021,0.025,0.082,0.045,0.421
"P10","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.508,0.09,0.104,0.136,0,0.014
"P10","Juan Grabois a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.057,0.043,0.069,0.058,0.021,0.055
"P10","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.222,0.016,0.11,0.277,0.208,0.211
"P10","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.021,0.003,0,0.287,0.055,0.078
"P10","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.039,0.404,0.082,0.104,0.135,0.123
"P10","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.052,0.343,0.038,0.022,0,0.023
"P10","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.048,0.055,0.573,0.022,0.034,0.031
"P10","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.003,0.009,0,0.094,0.021,0.071
"P10","En blanco",0.006,0.021,0.011,0,0.421,0.02
"P10","No sabe",0.044,0.016,0.013,0,0.105,0.374
"P13","Sergio Massa a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.815,0.081,0.097,0.136,0.104,0.042
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.065,0.597,0.181,0.046,0.112,0.142
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.036,0.159,0.681,0.058,0.049,0.026
"P13","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.02,0.011,0.004,0.511,0.029,0.024
"P13","En blanco",0.004,0.017,0.008,0.227,0.609,0.01
"P13","No sabe",0.06,0.135,0.029,0.022,0.097,0.756
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.651,0.049,0.192,0.353,0.235,0.234
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.107,0.608,0.165,0.132,0.112,0.102
"P19","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.093,0.184,0.634,0.078,0,0.036
"P19","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.005,0.012,0,0.437,0.023,0.025
"P19","En blanco",0.032,0.04,0,0,0.619,0.057
"P19","No sabe",0.112,0.107,0.009,0,0.011,0.546
"P22","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.613,0.124,0.182,0.337,0.216,0.27
"P22","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.157,0.721,0.172,0.182,0,0.08
"P22","Javier Milei a presidente, Carolina Piparo a gobernadora  y Rafael De Francesco a intendente por la Libertad Avanza",0.068,0.096,0.572,0.283,0.095,0.043
"P22","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.005,0,0.008,0.163,0.074,0.051
"P22","En blanco",0.054,0.036,0.021,0.035,0.581,0.054
"P22","No sabe",0.103,0.023,0.045,0,0.034,0.502
"P25","Lo votaría",0.452,0.198,0.133,0.286,0.151,0.131
"P25","Puede que lo vote",0.258,0.205,0.163,0.159,0.016,0.102
"P25","Nunca lo votaría",0.123,0.477,0.562,0.225,0.775,0.362
"P25","No sabe",0.167,0.12,0.142,0.33,0.058,0.405
"P26","Lo votaría",0.417,0.15,0.079,0.339,0.32,0.349
"P26","Puede que lo vote",0.197,0.144,0.204,0.42,0.062,0.142
"P26","Nunca lo votaría",0.242,0.602,0.472,0.148,0.523,0.189
"P26","No sabe",0.144,0.104,0.245,0.093,0.095,0.32
"P27","Lo votaría",0.125,0.299,0.135,0,0.112,0.117
"P27","Puede que lo vote",0.06,0.222,0.187,0.161,0.101,0.032
"P27","Nunca lo votaría",0.608,0.3,0.376,0.491,0.654,0.548
"P27","No sabe",0.207,0.179,0.302,0.348,0.133,0.303
"P28","Lo votaría",0.114,0.44,0.117,0.258,0.11,0.081
"P28","Puede que lo vote",0.105,0.235,0.224,0.197,0.096,0.098
"P28","Nunca lo votaría",0.643,0.228,0.374,0.228,0.715,0.507
"P28","No sabe",0.138,0.097,0.285,0.317,0.079,0.314
"P29","Lo votaría",0.057,0.105,0.158,0.025,0.011,0.072
"P29","Puede que lo vote",0.131,0.078,0.158,0.381,0.107,0.029
"P29","Nunca lo votaría",0.636,0.591,0.362,0.238,0.749,0.523
"P29","No sabe",0.176,0.226,0.322,0.356,0.133,0.376
"P30","Si",0.944,0.975,0.802,0.463,0.934,0.854
"P30","No",0.056,0.025,0.198,0.537,0.066,0.146
