"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A"
"A Alberto Fernández",0.306,0.317,0.295,0.497,0.239,0.29,0.206,0.418,0.285,0.147,0.28,0.352,0.255,0.256,0.231,0.35
"A Sergio Massa",0.212,0.246,0.176,0.255,0.238,0.172,0.144,0.232,0.248,0.096,0.241,0.175,0.305,0.203,0.163,0.23
"A algún candidato del peronismo",0.177,0.19,0.164,0,0.128,0.24,0.48,0.235,0.137,0.156,0.158,0.157,0.283,0.34,0.103,0.056
"A algún candidato del kirchnerismo",0.305,0.247,0.365,0.248,0.395,0.298,0.17,0.115,0.33,0.601,0.321,0.316,0.157,0.201,0.503,0.364
