"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","opciones"
"Muy buena",0.089,0.07,0.109,0.114,0.084,0.062,0.105,0.104,0.081,0.077,0.111,0.09,0.063,0.027,0.05,0.163,6
"Buena",0.116,0.135,0.097,0.1,0.101,0.149,0.135,0.132,0.114,0.084,0.092,0.132,0.082,0.14,0.127,0.1,6
"Ni buena ni mala",0.229,0.199,0.259,0.263,0.198,0.185,0.339,0.272,0.224,0.144,0.233,0.205,0.212,0.218,0.266,0.278,6
"Mala",0.21,0.216,0.205,0.109,0.231,0.303,0.179,0.213,0.197,0.236,0.243,0.193,0.253,0.257,0.098,0.217,6
"Muy mala",0.286,0.311,0.261,0.308,0.325,0.247,0.192,0.212,0.306,0.406,0.277,0.303,0.282,0.244,0.406,0.217,6
"No sabe",0.07,0.069,0.069,0.106,0.061,0.054,0.05,0.067,0.078,0.053,0.044,0.077,0.108,0.114,0.053,0.025,6
"Positiva",0.205,0.205,0.206,0.214,0.185,0.211,0.24,0.236,0.195,0.161,0.203,0.222,0.145,0.167,0.177,0.263,4
"Neutra",0.229,0.199,0.259,0.263,0.198,0.185,0.339,0.272,0.224,0.144,0.233,0.205,0.212,0.218,0.266,0.278,4
"Negativa",0.496,0.527,0.466,0.417,0.556,0.55,0.371,0.425,0.503,0.642,0.52,0.496,0.535,0.501,0.504,0.434,4
"No sabe",0.07,0.069,0.069,0.106,0.061,0.054,0.05,0.067,0.078,0.053,0.044,0.077,0.108,0.114,0.053,0.025,4
