"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A"
"Seguro la votaria",0.696,0.724,0.667,0.765,0.771,0.672,0.43,0.593,0.746,0.782,0.807,0.654,0.47,0.592,0.868,0.832
"Quizás la votaría",0.129,0.154,0.103,0.147,0.107,0.106,0.197,0.112,0.142,0.13,0.089,0.201,0.145,0.041,0.062,0.095
"Nunca la votaría",0.175,0.122,0.23,0.088,0.122,0.222,0.373,0.295,0.112,0.088,0.104,0.145,0.385,0.367,0.07,0.073
