"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A"
"Seguro lo votaria",0.3,0.304,0.296,0.554,0.305,0.123,0.033,0.195,0.421,0.245,0.201,0.361,0.254,0.223,0.476,0.191
"Quizás lo votaría",0.156,0.091,0.208,0.092,0.179,0.165,0.205,0.033,0.207,0.31,0.312,0.169,0.096,0.123,0.136,0.074
"Nunca lo votaría",0.544,0.605,0.496,0.354,0.516,0.712,0.762,0.772,0.372,0.445,0.487,0.47,0.65,0.654,0.388,0.735
