"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A"
"Agua corriente y cloacas",0.477,0.488,0.465,0.476,0.461,0.498,0.49,0.486,0.447,0.528,0.418,0.463,0.548,0.581,0.656,0.31
"Energía eléctrica",0.11,0.086,0.135,0.127,0.115,0.111,0.062,0.126,0.103,0.094,0.062,0.104,0.07,0.235,0.042,0.133
"Red de gas natural",0.135,0.153,0.118,0.166,0.146,0.124,0.065,0.102,0.176,0.112,0.125,0.126,0.066,0.041,0.054,0.36
"Recolección de residuos",0.141,0.115,0.167,0.122,0.161,0.12,0.151,0.136,0.134,0.169,0.171,0.144,0.221,0.1,0.09,0.12
"Ninguno",0.137,0.158,0.115,0.109,0.117,0.147,0.232,0.15,0.14,0.097,0.224,0.163,0.095,0.043,0.158,0.077
