"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","opciones"
"Muy buena",0.081,0.082,0.081,0.135,0.03,0.085,0.131,0.101,0.055,0.102,0.09,0.096,0.045,0.019,0.174,0.056,6
"Buena",0.074,0.083,0.065,0.026,0.082,0.09,0.117,0.061,0.083,0.082,0.101,0.04,0.07,0.105,0.088,0.089,6
"Ni buena ni mala",0.369,0.347,0.391,0.392,0.375,0.358,0.321,0.323,0.434,0.312,0.32,0.358,0.382,0.386,0.312,0.463,6
"Mala",0.091,0.113,0.069,0.066,0.085,0.124,0.101,0.1,0.078,0.103,0.141,0.088,0.071,0.076,0.063,0.087,6
"Muy mala",0.12,0.131,0.109,0.117,0.15,0.101,0.065,0.144,0.092,0.135,0.116,0.122,0.155,0.11,0.127,0.102,6
"No sabe",0.265,0.244,0.285,0.264,0.278,0.242,0.265,0.271,0.258,0.266,0.232,0.296,0.277,0.304,0.236,0.203,6
"Positiva",0.155,0.165,0.146,0.161,0.112,0.175,0.248,0.162,0.138,0.184,0.191,0.136,0.115,0.124,0.262,0.145,4
"Neutra",0.369,0.347,0.391,0.392,0.375,0.358,0.321,0.323,0.434,0.312,0.32,0.358,0.382,0.386,0.312,0.463,4
"Negativa",0.211,0.244,0.178,0.183,0.235,0.225,0.166,0.244,0.17,0.238,0.257,0.21,0.226,0.186,0.19,0.189,4
"No sabe",0.265,0.244,0.285,0.264,0.278,0.242,0.265,0.271,0.258,0.266,0.232,0.296,0.277,0.304,0.236,0.203,4
