"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","opciones"
"Muy buena",0.131,0.159,0.102,0.146,0.113,0.144,0.135,0.179,0.101,0.096,0.134,0.108,0.107,0.171,0.157,0.143,6
"Buena",0.134,0.118,0.15,0.132,0.115,0.154,0.163,0.153,0.128,0.105,0.131,0.168,0.166,0.108,0.138,0.056,6
"Ni buena ni mala",0.224,0.218,0.23,0.228,0.22,0.204,0.26,0.236,0.225,0.19,0.246,0.222,0.22,0.186,0.215,0.245,6
"Mala",0.196,0.192,0.201,0.168,0.216,0.194,0.198,0.186,0.201,0.21,0.224,0.192,0.095,0.223,0.143,0.254,6
"Muy mala",0.276,0.277,0.275,0.246,0.323,0.267,0.205,0.22,0.29,0.371,0.246,0.257,0.315,0.28,0.337,0.287,6
"No sabe",0.039,0.036,0.042,0.08,0.013,0.037,0.039,0.026,0.055,0.028,0.019,0.053,0.097,0.032,0.01,0.015,6
"Positiva",0.265,0.277,0.252,0.278,0.228,0.298,0.298,0.332,0.229,0.201,0.265,0.276,0.273,0.279,0.295,0.199,4
"Neutra",0.224,0.218,0.23,0.228,0.22,0.204,0.26,0.236,0.225,0.19,0.246,0.222,0.22,0.186,0.215,0.245,4
"Negativa",0.472,0.469,0.476,0.414,0.539,0.461,0.403,0.406,0.491,0.581,0.47,0.449,0.41,0.503,0.48,0.541,4
"No sabe",0.039,0.036,0.042,0.08,0.013,0.037,0.039,0.026,0.055,0.028,0.019,0.053,0.097,0.032,0.01,0.015,4
