"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","opciones"
"Muy buena",0.092,0.087,0.098,0.108,0.081,0.095,0.094,0.098,0.096,0.071,0.078,0.087,0.023,0.108,0.133,0.13,6
"Buena",0.126,0.094,0.158,0.159,0.11,0.117,0.124,0.108,0.151,0.102,0.045,0.156,0.193,0.131,0.123,0.099,6
"Ni buena ni mala",0.285,0.305,0.265,0.269,0.288,0.275,0.324,0.338,0.264,0.219,0.349,0.289,0.188,0.296,0.212,0.308,6
"Mala",0.158,0.147,0.17,0.074,0.182,0.208,0.166,0.177,0.128,0.19,0.19,0.136,0.151,0.143,0.14,0.201,6
"Muy mala",0.262,0.279,0.244,0.293,0.287,0.227,0.18,0.201,0.28,0.356,0.253,0.258,0.29,0.245,0.339,0.226,6
"No sabe",0.077,0.088,0.065,0.097,0.052,0.078,0.112,0.078,0.081,0.062,0.085,0.074,0.155,0.077,0.053,0.036,6
"Positiva",0.218,0.181,0.256,0.267,0.191,0.212,0.218,0.206,0.247,0.173,0.123,0.243,0.216,0.239,0.256,0.229,4
"Neutra",0.285,0.305,0.265,0.269,0.288,0.275,0.324,0.338,0.264,0.219,0.349,0.289,0.188,0.296,0.212,0.308,4
"Negativa",0.42,0.426,0.414,0.367,0.469,0.435,0.346,0.378,0.408,0.546,0.443,0.394,0.441,0.388,0.479,0.427,4
"No sabe",0.077,0.088,0.065,0.097,0.052,0.078,0.112,0.078,0.081,0.062,0.085,0.074,0.155,0.077,0.053,0.036,4
