"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","opciones"
"Muy buena",0.03,0.036,0.024,0.059,0.026,0.012,0.025,0.028,0.028,0.043,0.02,0.034,0.005,0.041,0.005,0.058,6
"Buena",0.025,0.036,0.013,0.011,0.037,0.017,0.027,0.037,0.011,0.031,0.02,0.018,0,0.049,0.025,0.041,6
"Ni buena ni mala",0.397,0.374,0.421,0.393,0.396,0.438,0.337,0.364,0.439,0.37,0.328,0.37,0.435,0.433,0.434,0.455,6
"Mala",0.066,0.085,0.047,0.073,0.068,0.056,0.063,0.063,0.069,0.066,0.072,0.059,0.019,0.104,0.033,0.092,6
"Muy mala",0.098,0.114,0.082,0.143,0.119,0.059,0.017,0.112,0.078,0.112,0.141,0.113,0.067,0.106,0.047,0.059,6
"No sabe",0.384,0.355,0.413,0.321,0.354,0.418,0.531,0.396,0.375,0.378,0.419,0.406,0.474,0.267,0.456,0.295,6
"Positiva",0.055,0.072,0.037,0.07,0.063,0.029,0.052,0.065,0.039,0.074,0.04,0.052,0.005,0.09,0.03,0.099,4
"Neutra",0.397,0.374,0.421,0.393,0.396,0.438,0.337,0.364,0.439,0.37,0.328,0.37,0.435,0.433,0.434,0.455,4
"Negativa",0.164,0.199,0.129,0.216,0.187,0.115,0.08,0.175,0.147,0.178,0.213,0.172,0.086,0.21,0.08,0.151,4
"No sabe",0.384,0.355,0.413,0.321,0.354,0.418,0.531,0.396,0.375,0.378,0.419,0.406,0.474,0.267,0.456,0.295,4
