"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","opciones"
"Muy buena",0.065,0.071,0.059,0.125,0.039,0.032,0.084,0.075,0.06,0.053,0.034,0.085,0.026,0.061,0.035,0.103,6
"Buena",0.093,0.067,0.119,0.099,0.082,0.108,0.088,0.067,0.123,0.078,0.118,0.074,0.092,0.142,0.098,0.06,6
"Ni buena ni mala",0.391,0.372,0.41,0.382,0.359,0.421,0.456,0.368,0.432,0.341,0.305,0.4,0.333,0.382,0.468,0.464,6
"Mala",0.132,0.142,0.122,0.14,0.128,0.166,0.073,0.133,0.101,0.207,0.185,0.126,0.101,0.102,0.095,0.16,6
"Muy mala",0.152,0.183,0.121,0.125,0.21,0.114,0.092,0.158,0.122,0.217,0.18,0.173,0.17,0.094,0.169,0.103,6
"No sabe",0.167,0.165,0.169,0.129,0.182,0.159,0.207,0.199,0.162,0.104,0.178,0.142,0.278,0.219,0.135,0.11,6
"Positiva",0.158,0.138,0.178,0.224,0.121,0.14,0.172,0.142,0.183,0.131,0.152,0.159,0.118,0.203,0.133,0.163,4
"Neutra",0.391,0.372,0.41,0.382,0.359,0.421,0.456,0.368,0.432,0.341,0.305,0.4,0.333,0.382,0.468,0.464,4
"Negativa",0.284,0.325,0.243,0.265,0.338,0.28,0.165,0.291,0.223,0.424,0.365,0.299,0.271,0.196,0.264,0.263,4
"No sabe",0.167,0.165,0.169,0.129,0.182,0.159,0.207,0.199,0.162,0.104,0.178,0.142,0.278,0.219,0.135,0.11,4
