"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","opciones"
"Muy buena",0.088,0.119,0.056,0.103,0.086,0.068,0.1,0.087,0.094,0.077,0.113,0.072,0.008,0.08,0.083,0.158,6
"Buena",0.106,0.124,0.087,0.049,0.104,0.13,0.174,0.134,0.081,0.103,0.106,0.095,0.178,0.124,0.092,0.075,6
"Ni buena ni mala",0.316,0.299,0.333,0.267,0.31,0.327,0.406,0.389,0.278,0.24,0.313,0.359,0.266,0.285,0.324,0.274,6
"Mala",0.235,0.191,0.279,0.229,0.217,0.301,0.19,0.185,0.257,0.293,0.225,0.182,0.273,0.237,0.292,0.303,6
"Muy mala",0.194,0.217,0.172,0.327,0.2,0.106,0.077,0.151,0.217,0.236,0.182,0.221,0.193,0.178,0.164,0.184,6
"No sabe",0.061,0.05,0.073,0.025,0.083,0.068,0.053,0.054,0.073,0.051,0.061,0.071,0.082,0.096,0.045,0.006,6
"Positiva",0.194,0.243,0.143,0.152,0.19,0.198,0.274,0.221,0.175,0.18,0.219,0.167,0.186,0.204,0.175,0.233,4
"Neutra",0.316,0.299,0.333,0.267,0.31,0.327,0.406,0.389,0.278,0.24,0.313,0.359,0.266,0.285,0.324,0.274,4
"Negativa",0.429,0.408,0.451,0.556,0.417,0.407,0.267,0.336,0.474,0.529,0.407,0.403,0.466,0.415,0.456,0.487,4
"No sabe",0.061,0.05,0.073,0.025,0.083,0.068,0.053,0.054,0.073,0.051,0.061,0.071,0.082,0.096,0.045,0.006,4
