"var","categoria","Malena Galmarini a intendenta por Unión por la Patria","Julio Zamora a intendente por Unión por la Patria","Claudio Cufré a intendente por Juntos por el Cambio","Segundo Cernadas a intendente por Juntos por el Cambio","Claudio Baumgarten a intendente por la Libertad Avanza","Alguno de los candidatos a intendente de la Izquierda","Otros","No sabe"
"P05","Mucho",0.449,0.413,0.62,0.398,0.763,0.797,0.164,0.298
"P05","Bastante",0.332,0.338,0.25,0.256,0.155,0.203,0.566,0.257
"P05","Poco",0.163,0.165,0.124,0.284,0.024,0,0.27,0.382
"P05","Nada",0.056,0.053,0.006,0.062,0.035,0,0,0
"P05","No sabe",0,0.031,0,0,0.023,0,0,0.063
"P06","Siempre",0.206,0.18,0.277,0.173,0.387,0,0.072,0.244
"P06","Casi siempre",0.36,0.423,0.396,0.344,0.401,0.797,0.216,0.291
"P06","Casi nunca",0.264,0.29,0.214,0.442,0.109,0.203,0.651,0.377
"P06","Nunca, pero esta es una excepción",0.17,0.107,0.113,0.041,0.103,0,0.061,0.088
"P07","Tiene Decidido que va a ir a votar.",0.916,0.867,0.816,0.89,0.797,0.867,0.886,0.646
"P07","Tiene dudas sobre si va a ir a  votar",0.069,0.121,0.161,0.076,0.159,0.133,0.032,0.253
"P07","Tiene Decidido que no va a ir a votar",0.015,0.012,0.023,0.034,0.044,0,0.082,0.101
"P09","Unión por la Patria",0.627,0.377,0.065,0.058,0.011,0.664,0.166,0.056
"P09","Juntos por el Cambio",0.156,0.302,0.534,0.699,0.109,0.071,0.156,0.051
"P09","De los Liberales libertarios",0.139,0.103,0.291,0.161,0.791,0,0,0.063
"P09","De la Izquierda",0,0.014,0.007,0.023,0.007,0.132,0,0.039
"P09","Hacemos por nuestro país",0,0,0,0,0.039,0,0,0.044
"P09","Otro",0.006,0.081,0.103,0.046,0,0.133,0.534,0.501
"P09","En blanco",0.02,0.02,0,0.011,0.035,0,0.144,0.077
"P09","No sabe",0.052,0.103,0,0.002,0.008,0,0,0.169
"P15","Totalmente seguro.",0.689,0.612,0.778,0.648,0.853,0.797,0.366,0.211
"P15","Bastante seguro",0.124,0.166,0.141,0.17,0.039,0.071,0.122,0.013
"P15","Algo seguro",0.107,0.109,0.02,0.105,0.108,0.132,0,0.189
"P15","Para nada seguro",0.08,0.113,0.061,0.077,0,0,0.512,0.587
"P23","Totalmente seguro",0.811,0.597,0.714,0.613,0.935,0.873,0.417,0.247
"P23","Bastante seguro",0.086,0.247,0.109,0.207,0.035,0,0.097,0.238
"P23","Algo seguro",0.039,0.093,0.039,0.066,0.03,0.127,0.03,0.023
"P23","Para nada seguro",0.064,0.063,0.138,0.114,0,0,0.456,0.492
"P24","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.552,0.221,0.028,0.047,0.109,0.13,0,0.116
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.182,0.27,0.644,0.502,0.286,0.069,0.255,0.094
"P24","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.088,0.084,0.251,0.216,0.568,0,0.076,0.076
"P24","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.077,0.037,0.047,0.027,0,0.266,0.178,0.072
"P24","Otros",0.046,0.27,0.03,0.184,0.02,0.535,0.491,0.017
"P24","No sabe",0.055,0.118,0,0.024,0.017,0,0,0.625
"P27","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.577,0.183,0.278,0.093,0.269,0.13,0.458,0.101
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.184,0.219,0.21,0.5,0.129,0.065,0.05,0.07
"P27","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.156,0.111,0.236,0.179,0.595,0,0.041,0.077
"P27","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.007,0.03,0.077,0.038,0,0.259,0.095,0
"P27","Otros",0.028,0.334,0.077,0.151,0.007,0.546,0.289,0.249
"P27","No sabe",0.048,0.123,0.122,0.039,0,0,0.067,0.503
"P28","Lo votaría",0.506,0.152,0.202,0.011,0.107,0.137,0,0.078
"P28","Puede que lo vote",0.177,0.164,0.099,0.074,0.12,0,0.155,0.021
"P28","Nunca lo votaría",0.261,0.65,0.691,0.859,0.75,0.07,0.494,0.345
"P28","No sabe",0.056,0.034,0.008,0.056,0.023,0.793,0.351,0.556
"P29","Lo votaría",0.511,0.089,0.198,0.005,0.151,0.728,0,0
"P29","Puede que lo vote",0.098,0.12,0.13,0.014,0.051,0,0.319,0.095
"P29","Nunca lo votaría",0.379,0.725,0.672,0.872,0.798,0.272,0.606,0.404
"P29","No sabe",0.012,0.066,0,0.109,0,0,0.075,0.501
"P30","Lo votaría",0.223,0.373,0.248,0.005,0.182,0.163,0.437,0
"P30","Puede que lo vote",0.383,0.109,0.109,0.02,0.073,0.569,0.066,0.04
"P30","Nunca lo votaría",0.329,0.476,0.643,0.907,0.745,0.268,0.462,0.25
"P30","No sabe",0.065,0.042,0,0.068,0,0,0.035,0.71
"P31","Lo votaría",0.186,0.246,0.616,0.412,0.267,0,0.055,0
"P31","Puede que lo vote",0.174,0.15,0.217,0.332,0.235,0.132,0.268,0.067
"P31","Nunca lo votaría",0.597,0.556,0.167,0.217,0.498,0.868,0.582,0.507
"P31","No sabe",0.043,0.048,0,0.039,0,0,0.095,0.426
"P32","Lo votaría",0.147,0.139,0.404,0.479,0.184,0,0.055,0.09
"P32","Puede que lo vote",0.027,0.182,0.069,0.375,0.317,0,0.329,0.148
"P32","Nunca lo votaría",0.765,0.603,0.493,0.134,0.492,1,0.52,0.154
"P32","No sabe",0.061,0.076,0.034,0.012,0.007,0,0.096,0.608
"P33","Lo votaría",0.224,0.097,0.464,0.21,0.478,0,0,0.072
"P33","Puede que lo vote",0.021,0.151,0.068,0.203,0.211,0.13,0.124,0.081
"P33","Nunca lo votaría",0.755,0.676,0.458,0.49,0.304,0.87,0.612,0.404
"P33","No sabe",0,0.076,0.01,0.097,0.007,0,0.264,0.443
"P34","Si",0.451,0.399,0.313,0.349,0.761,0,0.373,0.221
"P34","No",0.549,0.601,0.687,0.651,0.239,1,0.627,0.779
