"var","categoria","Malena Galmarini a intendenta por Unión por la Patria","Julio Zamora a intendente por Unión por la Patria","Claudio Cufré a intendente por Juntos por el Cambio","Segundo Cernadas a intendente por Juntos por el Cambio","Claudio Baumgarten a intendente por la Libertad Avanza","Alguno de los candidatos a intendente de la Izquierda","Otros","No sabe"
"P05","Mucho",0.47,0.419,0.632,0.365,0.628,0.477,0.135,0.243
"P05","Bastante",0.387,0.321,0.218,0.296,0.152,0.523,0.479,0.355
"P05","Poco",0.109,0.161,0.103,0.25,0.127,0,0.186,0.34
"P05","Nada",0.034,0.072,0.047,0.089,0.072,0,0.2,0.025
"P05","No sabe",0,0.027,0,0,0.021,0,0,0.037
"P06","Siempre",0.238,0.192,0.292,0.172,0.275,0,0.311,0.201
"P06","Casi siempre",0.365,0.431,0.376,0.346,0.258,0.609,0.341,0.23
"P06","Casi nunca",0.188,0.277,0.218,0.413,0.235,0.357,0.326,0.275
"P06","Nunca, pero esta es una excepción",0.209,0.1,0.114,0.069,0.232,0.034,0.022,0.294
"P07","Tiene Decidido que va a ir a votar.",0.893,0.862,0.848,0.835,0.905,0.838,0.631,0.551
"P07","Tiene dudas sobre si va a ir a  votar",0.074,0.115,0.137,0.087,0.066,0.162,0.292,0.382
"P07","Tiene Decidido que no va a ir a votar",0.033,0.023,0.015,0.078,0.029,0,0.077,0.067
"P09","Unión por la Patria",0.786,0.426,0.065,0.067,0.019,0.115,0.309,0.076
"P09","Juntos por el Cambio",0.081,0.258,0.624,0.694,0.058,0.005,0.106,0.035
"P09","De los Liberales libertarios",0.088,0.102,0.206,0.123,0.898,0,0.027,0.039
"P09","De la Izquierda",0.005,0.011,0.007,0.038,0.002,0.823,0,0.028
"P09","Hacemos por nuestro país",0,0.011,0,0.004,0.011,0,0.088,0.024
"P09","Otro",0.005,0.084,0.098,0.064,0,0.057,0.418,0.581
"P09","En blanco",0.006,0.016,0,0.006,0.01,0,0.052,0.045
"P09","No sabe",0.029,0.092,0,0.004,0.002,0,0,0.172
"P15","Totalmente seguro.",0.728,0.623,0.824,0.621,0.908,0.804,0.419,0.156
"P15","Bastante seguro",0.134,0.169,0.107,0.195,0.04,0.005,0.055,0.008
"P15","Algo seguro",0.04,0.107,0.026,0.102,0.044,0.052,0,0.166
"P15","Para nada seguro",0.098,0.101,0.043,0.082,0.008,0.139,0.526,0.67
"P23","Totalmente seguro",0.811,0.597,0.714,0.613,0.935,0.873,0.417,0.247
"P23","Bastante seguro",0.086,0.247,0.109,0.207,0.035,0,0.097,0.238
"P23","Algo seguro",0.039,0.093,0.039,0.066,0.03,0.127,0.03,0.023
"P23","Para nada seguro",0.064,0.063,0.138,0.114,0,0,0.456,0.492
"P24","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.77,0.23,0.054,0.045,0.093,0.15,0,0.111
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.095,0.231,0.729,0.454,0.112,0.04,0.153,0.053
"P24","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.072,0.101,0.15,0.194,0.711,0.018,0.051,0.033
"P24","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.028,0.038,0.035,0.024,0,0.709,0.055,0.036
"P24","Otros",0.017,0.264,0.021,0.238,0.007,0.083,0.504,0.22
"P24","No sabe",0.018,0.136,0.011,0.045,0.077,0,0.237,0.547
"P27","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.737,0.215,0.21,0.096,0.134,0.022,0.136,0.099
