"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld"
"Malena Galmarini a intendenta por Unión por la Patria",0.227,0.244,0.211,0.219,0.24,0.214,0.22,0.279,0.225,0.166,0.273,0.195,0.192,0.333,0.066,0.098,0.015
"Julio Zamora a intendente por Unión por la Patria",0.291,0.272,0.308,0.183,0.337,0.292,0.318,0.214,0.309,0.353,0.313,0.394,0.221,0.451,0.093,0.031,0.38
"Claudio Cufré a intendente por Juntos por el Cambio",0.088,0.057,0.117,0.068,0.079,0.108,0.111,0.06,0.092,0.114,0.059,0.097,0.114,0.043,0.184,0,0.032
"Segundo Cernadas a intendente por Juntos por el Cambio",0.212,0.185,0.238,0.215,0.21,0.223,0.198,0.23,0.19,0.226,0.211,0.146,0.243,0.094,0.467,0.173,0
"Claudio Baumgarten a intendente por la Libertad Avanza",0.112,0.176,0.053,0.233,0.078,0.08,0.077,0.143,0.1,0.095,0.065,0.125,0.156,0.055,0.157,0.417,0.142
"Alguno de los candidatos a intendente de la Izquierda",0.015,0.024,0.007,0.01,0.024,0.011,0.007,0.019,0.014,0.014,0.027,0.002,0.01,0.006,0.002,0.24,0.431
"Otros",0.021,0.006,0.035,0.024,0.014,0.032,0.021,0.023,0.024,0.015,0.025,0.017,0.019,0.005,0.024,0.023,0
"No sabe",0.034,0.036,0.031,0.048,0.018,0.04,0.048,0.032,0.046,0.017,0.027,0.024,0.045,0.013,0.007,0.018,0
