"var","categoria","Malena Galmarini a intendenta por Unión por la Patria","Julio Zamora a intendente por Unión por la Patria","Claudio Cufré a intendente por Juntos por el Cambio","Segundo Cernadas a intendente por Juntos por el Cambio","Claudio Baumgarten a intendente por la Libertad Avanza","Alguno de los candidatos a intendente de la Izquierda","Otros","No sabe"
"P05","Mucho",0.484,0.424,0.517,0.387,0.599,0.906,0.28,0.438
"P05","Bastante",0.422,0.314,0.298,0.185,0.204,0.094,0.72,0.072
"P05","Poco",0.094,0.158,0.185,0.335,0.047,0,0,0.425
"P05","Nada",0,0.067,0,0.093,0.094,0,0,0
"P05","No sabe",0,0.037,0,0,0.056,0,0,0.065
"P06","Siempre",0.241,0.138,0.141,0.111,0.363,0,0.176,0.37
"P06","Casi siempre",0.269,0.44,0.474,0.319,0.259,0.906,0.347,0.144
"P06","Casi nunca",0.248,0.274,0.323,0.53,0.139,0.094,0.477,0.465
"P06","Nunca, pero esta es una excepción",0.242,0.148,0.062,0.04,0.239,0,0,0.021
"P07","Tiene Decidido que va a ir a votar.",0.863,0.817,0.811,0.869,0.534,1,0.722,0.584
"P07","Tiene dudas sobre si va a ir a  votar",0.137,0.166,0.17,0.098,0.355,0,0,0.302
"P07","Tiene Decidido que no va a ir a votar",0,0.017,0.019,0.033,0.111,0,0.278,0.114
"P09","Unión por la Patria",0.296,0.281,0.072,0.058,0.021,0.906,0.347,0.04
"P09","Juntos por el Cambio",0.291,0.46,0.314,0.676,0.224,0.094,0.477,0.082
"P09","De los Liberales libertarios",0.36,0.113,0.407,0.168,0.578,0,0,0.102
"P09","De la Izquierda",0,0.005,0.009,0.043,0.014,0,0,0.065
"P09","Hacemos por nuestro país",0,0,0,0,0.079,0,0,0
"P09","Otro",0.014,0.016,0.198,0.038,0,0,0.176,0.587
"P09","En blanco",0,0.003,0,0.015,0.068,0,0,0.124
"P09","No sabe",0.039,0.122,0,0.002,0.016,0,0,0
"P15","Totalmente seguro.",0.684,0.604,0.693,0.619,0.869,0.906,0.729,0.242
"P15","Bastante seguro",0.112,0.18,0.199,0.185,0.042,0.094,0.176,0.021
"P15","Algo seguro",0.151,0.109,0.029,0.119,0.089,0,0,0.178
"P15","Para nada seguro",0.053,0.107,0.079,0.077,0,0,0.095,0.559
"P23","Totalmente seguro",0.853,0.584,0.708,0.596,0.927,1,1,0.242
"P23","Bastante seguro",0.036,0.233,0.165,0.272,0.041,0,0,0.242
"P23","Algo seguro",0.022,0.106,0.061,0.083,0.032,0,0,0
"P23","Para nada seguro",0.089,0.077,0.066,0.049,0,0,0,0.516
"P24","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.157,0.295,0.035,0.066,0.291,0.181,0,0.153
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.162,0.393,0.633,0.493,0.371,0.092,0.67,0.154
"P24","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.285,0.089,0.23,0.205,0.258,0,0.146,0.108
"P24","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.205,0.017,0.087,0.057,0,0,0,0
"P24","Otros",0.079,0.097,0.015,0.16,0.048,0.727,0.184,0.027
"P24","No sabe",0.112,0.109,0,0.019,0.032,0,0,0.558
"P27","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.197,0.239,0.465,0.076,0.532,0.174,0.587,0.154
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.306,0.308,0.101,0.466,0.318,0.086,0.1,0.113
"P27","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.376,0.135,0.232,0.2,0.133,0,0.102,0.11
"P27","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0,0.001,0.174,0.075,0,0,0.211,0
"P27","Otros",0,0.193,0.028,0.136,0.017,0.74,0,0.28
"P27","No sabe",0.121,0.124,0,0.047,0,0,0,0.343
"P28","Lo votaría",0.06,0.215,0.259,0.013,0.127,0.177,0,0.122
"P28","Puede que lo vote",0.315,0.117,0.109,0.098,0.327,0,0.1,0.032
"P28","Nunca lo votaría",0.481,0.648,0.621,0.812,0.494,0.088,0.734,0.223
"P28","No sabe",0.144,0.02,0.011,0.077,0.052,0.735,0.166,0.623
"P29","Lo votaría",0.368,0.056,0.236,0.005,0.227,1,0,0
"P29","Puede que lo vote",0.014,0.106,0.134,0.02,0.153,0,0,0.154
"P29","Nunca lo votaría",0.618,0.741,0.63,0.844,0.62,0,0.842,0.486
"P29","No sabe",0,0.097,0,0.131,0,0,0.158,0.36
"P30","Lo votaría",0.154,0.195,0.387,0.006,0.33,0.196,0.373,0
"P30","Puede que lo vote",0.422,0.093,0.101,0.025,0.172,0.804,0,0.063
"P30","Nunca lo votaría",0.424,0.646,0.512,0.886,0.498,0,0.627,0.239
"P30","No sabe",0,0.066,0,0.083,0,0,0,0.698
"P31","Lo votaría",0.19,0.323,0.48,0.465,0.522,0,0.096,0
"P31","Puede que lo vote",0.211,0.157,0.313,0.28,0.274,0,0.438,0.113
"P31","Nunca lo votaría",0.536,0.445,0.207,0.224,0.204,1,0.315,0.619
"P31","No sabe",0.063,0.075,0,0.031,0,0,0.151,0.268
"P32","Lo votaría",0.067,0.198,0.3,0.375,0.287,0,0.096,0.132
"P32","Puede que lo vote",0.014,0.23,0.055,0.456,0.549,0,0.537,0.118
"P32","Nunca lo votaría",0.81,0.476,0.645,0.154,0.145,1,0.214,0.173
"P32","No sabe",0.109,0.096,0,0.015,0.019,0,0.153,0.577
"P33","Lo votaría",0.344,0.109,0.511,0.194,0.113,0,0,0.126
"P33","Puede que lo vote",0.046,0.13,0.053,0.25,0.521,0,0.123,0
"P33","Nunca lo votaría",0.61,0.653,0.42,0.5,0.347,1,0.877,0.609
"P33","No sabe",0,0.108,0.016,0.056,0.019,0,0,0.265
"P34","Si",0.343,0.353,0.344,0.389,0.708,0,0.707,0.306
"P34","No",0.657,0.647,0.656,0.611,0.292,1,0.293,0.694
"PRESIDENTE","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.281,0.262,0.291,0.041,0.331,0.179,0.171,0.154
"PRESIDENTE","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.129,0.059,0.016,0.041,0.021,0.728,0,0.039
"PRESIDENTE","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.227,0.315,0.166,0.602,0.429,0,0.477,0.016
"PRESIDENTE","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.176,0.179,0.202,0.073,0.105,0.093,0,0.017
"PRESIDENTE","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.135,0.147,0.308,0.19,0.114,0,0,0.226
"PRESIDENTE","Alguno de los candidatos a presidente y gobernador de la Izquierda",0,0.002,0.017,0.009,0,0,0,0
"PRESIDENTE","Otros",0.052,0.012,0,0.04,0,0,0.352,0.548
"PRESIDENTE","No sabe",0,0.024,0,0.004,0,0,0,0
"INTENDENTE","Malena Galmarini a intendenta por Unión por la Patria",1,0,0,0,0,0,0,0
"INTENDENTE","Julio Zamora a intendente por Unión por la Patria",0,1,0,0,0,0,0,0
"INTENDENTE","Claudio Cufré a intendente por Juntos por el Cambio",0,0,1,0,0,0,0,0
