"var","categoria","Totalmente seguro.","Bastante seguro","Algo seguro","Para nada seguro"
"P05","Mucho",0.535,0.301,0.27,0.183
"P05","Bastante",0.293,0.466,0.246,0.34
"P05","Poco",0.096,0.223,0.399,0.357
"P05","Nada",0.066,0.003,0.074,0.1
"P05","No sabe",0.01,0.007,0.011,0.02
"P06","Siempre",0.241,0.116,0.102,0.177
"P06","Casi siempre",0.369,0.451,0.421,0.252
"P06","Casi nunca",0.233,0.358,0.431,0.355
"P06","Nunca, pero esta es una excepción",0.157,0.075,0.046,0.216
"P07","Tiene Decidido que va a ir a votar.",0.9,0.74,0.866,0.626
"P07","Tiene dudas sobre si va a ir a  votar",0.075,0.163,0.104,0.276
"P07","Tiene Decidido que no va a ir a votar",0.025,0.097,0.03,0.098
"P09","Unión por la Patria",0.335,0.426,0.317,0.252
"P09","Juntos por el Cambio",0.32,0.353,0.306,0.17
"P09","De los Liberales libertarios",0.241,0.082,0.142,0.058
"P09","De la Izquierda",0.021,0.026,0.028,0.076
"P09","Hacemos por nuestro país",0.008,0.006,0,0.036
"P09","Otro",0.05,0.018,0.15,0.241
"P09","En blanco",0.01,0,0,0.037
"P09","No sabe",0.015,0.089,0.057,0.13
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.237,0.214,0.147,0.129
"P12","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.029,0.088,0.064,0.061
"P12","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.153,0.161,0.192,0.125
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.2,0.158,0.113,0.049
"P12","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.125,0.2,0.186,0.167
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.204,0.109,0.164,0.048
"P12","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.015,0.014,0.019,0.051
"P12","Otros",0.033,0.047,0.006,0.16
"P12","No sabe",0.004,0.009,0.109,0.21
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.176,0.221,0.184,0.139
"P17","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.144,0.146,0.186,0.036
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.305,0.278,0.194,0.129
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.11,0.116,0.177,0.154
"P17","Javier Milei a presidente, Carolina Piparo a gobernadora  por la Libertad Avanza",0.185,0.135,0.125,0.185
"P17","Alguno de los candidatos a presidente y gobernador de la Izquierda",0.022,0.017,0.007,0
"P17","Otros",0.04,0.055,0.1,0.157
"P17","No sabe",0.018,0.032,0.027,0.2
"P20","Malena Galmarini a intendenta por Unión por la Patria",0.129,0.101,0.127,0.085
"P20","Julio Zamora a intendente por Unión por la Patria",0.429,0.51,0.484,0.451
