"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","Otros","No sabe"
"P05","Mucho",0.467,0.364,0.44,0.498,0.371,0.548,0.316,0.418,0.103
"P05","Bastante",0.39,0.207,0.307,0.229,0.408,0.222,0.432,0.264,0.442
"P05","Poco",0.099,0.342,0.171,0.177,0.158,0.154,0.252,0.199,0.285
"P05","Nada",0.028,0.069,0.068,0.087,0.063,0.068,0,0.094,0.156
"P05","No sabe",0.016,0.018,0.014,0.009,0,0.008,0,0.025,0.014
"P06","Siempre",0.229,0.073,0.238,0.255,0.228,0.179,0.051,0.296,0.064
"P06","Casi siempre",0.37,0.344,0.374,0.355,0.381,0.346,0.41,0.357,0.354
"P06","Casi nunca",0.214,0.31,0.286,0.295,0.301,0.294,0.504,0.226,0.3
"P06","Nunca, pero esta es una excepción",0.187,0.273,0.102,0.095,0.09,0.181,0.035,0.121,0.282
"P07","Tiene Decidido que va a ir a votar.",0.89,0.675,0.917,0.856,0.835,0.858,0.586,0.792,0.57
"P07","Tiene dudas sobre si va a ir a  votar",0.09,0.096,0.06,0.1,0.069,0.133,0.414,0.144,0.379
"P07","Tiene Decidido que no va a ir a votar",0.02,0.229,0.023,0.044,0.096,0.009,0,0.064,0.051
"P09","Unión por la Patria",0.774,0.747,0.57,0.057,0.075,0.057,0.036,0.193,0.149
"P09","Juntos por el Cambio",0.064,0.129,0.1,0.819,0.738,0.092,0.036,0.102,0.165
"P09","De los Liberales libertarios",0.083,0.092,0.06,0.087,0.051,0.78,0,0.061,0.025
"P09","De la Izquierda",0.006,0.022,0.014,0.012,0.033,0.004,0.747,0.049,0
"P09","Hacemos por nuestro país",0.004,0,0.022,0.003,0.022,0,0,0.092,0.017
"P09","Otro",0.021,0,0.146,0.019,0.074,0.047,0.042,0.31,0.275
"P09","En blanco",0.008,0,0.026,0,0,0.001,0.129,0.04,0.019
"P09","No sabe",0.04,0.01,0.062,0.003,0.007,0.019,0.01,0.153,0.35
"P15","Totalmente seguro.",0.735,0.436,0.659,0.782,0.571,0.801,0.514,0.456,0.078
"P15","Bastante seguro",0.142,0.287,0.15,0.133,0.196,0.092,0.105,0.14,0.034
"P15","Algo seguro",0.053,0.114,0.096,0.051,0.099,0.074,0.074,0.01,0.227
"P15","Para nada seguro",0.07,0.163,0.095,0.034,0.134,0.033,0.307,0.394,0.661
"P23","Totalmente seguro",0.737,0.629,0.637,0.72,0.57,0.759,0.051,0.414,0.277
