"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","Otros","No sabe"
"P12_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.674,0.059,0.076,0.041,0.04,0.134
"P12_imputada","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.084,0.043,0.005,0.013,0.033,0.016
"P12_imputada","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.108,0.066,0.073,0.216,0.393,0.351
"P12_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.027,0.514,0.084,0.029,0.094,0.015
"P12_imputada","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.015,0.209,0.092,0.219,0.29,0.184
"P12_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.073,0.089,0.65,0.014,0.045,0.116
"P12_imputada","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.008,0.002,0.002,0.39,0,0.052
"P12_imputada","Otros",0.011,0.018,0.018,0.078,0.105,0.132
"PRESIDENTE_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.717,0.035,0.1,0.128,0.06,0.183
"PRESIDENTE_imputada","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.131,0.068,0.081,0.294,0.221,0.192
"PRESIDENTE_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.057,0.59,0.05,0.03,0.121,0.124
"PRESIDENTE_imputada","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.017,0.193,0.08,0.106,0.347,0.206
"PRESIDENTE_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.05,0.077,0.678,0.026,0.077,0.149
"PRESIDENTE_imputada","Alguno de los candidatos a presidente y gobernador de la Izquierda",0.011,0.02,0.005,0.36,0.008,0
"PRESIDENTE_imputada","Otros",0.017,0.017,0.006,0.056,0.166,0.146
"INTENDENTE_imputada","Malena Galmarini a intendenta por Unión por la Patria",0.646,0.082,0.088,0.169,0.062,0.095
"INTENDENTE_imputada","Julio Zamora a intendente por Unión por la Patria",0.252,0.258,0.155,0.275,0.506,0.535
"INTENDENTE_imputada","Claudio Cufré a intendente por Juntos por el Cambio",0.017,0.231,0.066,0.073,0.011,0.011
"INTENDENTE_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.035,0.362,0.222,0.124,0.331,0.136
"INTENDENTE_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.041,0.051,0.461,0.016,0.005,0.113
"INTENDENTE_imputada","Alguno de los candidatos a intendente de la Izquierda",0.009,0.003,0.002,0.312,0.01,0
"INTENDENTE_imputada","Otros",0,0.013,0.006,0.031,0.075,0.11
"INTENDENTE_CORTA_1_imputada","Malena Galmarini a intendenta por Unión por la Patria",0.627,0.063,0.045,0.012,0.081,0.287
"INTENDENTE_CORTA_1_imputada","Julio Zamora a intendente por Unión por la Patria",0.052,0.061,0.024,0,0.02,0.111
"INTENDENTE_CORTA_1_imputada","Claudio Cufré a intendente por Juntos por el Cambio",0.064,0.632,0.12,0.048,0.36,0.009
"INTENDENTE_CORTA_1_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.015,0.113,0.021,0.469,0.232,0.299
"INTENDENTE_CORTA_1_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.202,0.111,0.746,0.021,0.179,0.021
"INTENDENTE_CORTA_1_imputada","Alguno de los candidatos a intendente de la Izquierda",0,0,0,0.354,0,0.205
"INTENDENTE_CORTA_1_imputada","Otros",0.04,0.02,0.044,0.096,0.128,0.068
"INTENDENTE_CORTA_2_imputada","Malena Galmarini a intendenta por Unión por la Patria",0.075,0.029,0.138,0.336,0.056,0.11
"INTENDENTE_CORTA_2_imputada","Julio Zamora a intendente por Unión por la Patria",0.718,0.419,0.245,0.14,0.391,0.71
"INTENDENTE_CORTA_2_imputada","Claudio Cufré a intendente por Juntos por el Cambio",0.017,0.13,0.121,0.147,0.011,0
"INTENDENTE_CORTA_2_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.116,0.37,0.421,0.345,0.469,0.163
"INTENDENTE_CORTA_2_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.068,0.038,0.068,0.032,0.018,0.017
"INTENDENTE_CORTA_2_imputada","Alguno de los candidatos a intendente de la Izquierda",0.006,0.001,0,0,0.041,0
"INTENDENTE_CORTA_2_imputada","Otros",0,0.013,0.007,0,0.014,0
