"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld"
"Malena Galmarini a intendenta por Unión por la Patria",0.084,0.088,0.08,0.116,0.088,0.046,0.098,0.091,0.08,0.08,0.13,0.054,0.046,0.119,0.032,0,0
"Julio Zamora a intendente por Unión por la Patria",0.439,0.421,0.453,0.23,0.468,0.461,0.533,0.443,0.442,0.429,0.442,0.626,0.33,0.609,0.232,0.157,0
"Claudio Cufré a intendente por Juntos por el Cambio",0.092,0.088,0.094,0.236,0.092,0.032,0.041,0.065,0.088,0.125,0.071,0.116,0.103,0.102,0.058,0,0
"Segundo Cernadas a intendente por Juntos por el Cambio",0.297,0.268,0.321,0.339,0.318,0.318,0.182,0.268,0.304,0.319,0.279,0.157,0.396,0.107,0.62,0.737,0
"Claudio Baumgarten a intendente por la Libertad Avanza",0.039,0.058,0.025,0,0.018,0.071,0.08,0.081,0.017,0.025,0.036,0.003,0.063,0.037,0.041,0,0.385
"Alguno de los candidatos a intendente de la Izquierda",0.006,0.011,0.002,0,0,0.022,0.003,0.015,0,0.006,0.013,0.003,0,0.002,0.002,0,0.615
"Otros",0.008,0.008,0.008,0,0,0.017,0.02,0.007,0.011,0.005,0.002,0.02,0.008,0.013,0,0.106,0
"No sabe",0.035,0.058,0.017,0.079,0.016,0.033,0.043,0.03,0.058,0.011,0.027,0.021,0.054,0.011,0.015,0,0
