"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld","NA","NA","NA","NA","NA"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.227,0.23,0.224,0.214,0.238,0.247,0.182,0.25,0.251,0.16,0.326,0.069,0.084,0.054,0.326,0.069,0.084,0.054,0.246,0.233,0.199,0.232
"Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.047,0.059,0.035,0.053,0.034,0.052,0.065,0.08,0.018,0.052,0.055,0.038,0.016,0.064,0.055,0.038,0.016,0.064,0.03,0.056,0.064,0.03
"Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.158,0.146,0.169,0.167,0.177,0.135,0.126,0.089,0.17,0.224,0.257,0.028,0,0.352,0.257,0.028,0,0.352,0.016,0.166,0.197,0.133
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.171,0.144,0.197,0.088,0.131,0.258,0.279,0.151,0.17,0.198,0.097,0.337,0.172,0.036,0.097,0.337,0.172,0.036,0.07,0.146,0.18,0.193
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.155,0.121,0.187,0.121,0.16,0.156,0.19,0.179,0.158,0.121,0.115,0.264,0.015,0,0.115,0.264,0.015,0,0.071,0.179,0.137,0.139
"Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.17,0.238,0.106,0.293,0.183,0.093,0.066,0.167,0.169,0.173,0.107,0.231,0.5,0.07,0.107,0.231,0.5,0.07,0.297,0.127,0.183,0.208
"Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.019,0.02,0.018,0.019,0.022,0.005,0.033,0.025,0.013,0.022,0.016,0.002,0.213,0.322,0.016,0.002,0.213,0.322,0.003,0.027,0.012,0.014
"Otros",0.053,0.042,0.064,0.045,0.055,0.054,0.059,0.059,0.051,0.05,0.027,0.031,0,0.102,0.027,0.031,0,0.102,0.267,0.066,0.028,0.051
