"var","categoria","Malena Galmarini a intendenta por Unión por la Patria","Julio Zamora a intendente por Unión por la Patria","Claudio Cufré a intendente por Juntos por el Cambio","Segundo Cernadas a intendente por Juntos por el Cambio","Claudio Baumgarten a intendente por la Libertad Avanza","Alguno de los candidatos a intendente de la Izquierda","Otros"
"P05","Mucho",0.444,0.427,0.632,0.361,0.625,0.477,0.117
"P05","Bastante",0.406,0.314,0.218,0.293,0.151,0.523,0.415
"P05","Poco",0.114,0.161,0.103,0.259,0.131,0,0.295
"P05","Nada",0.036,0.068,0.047,0.087,0.072,0,0.173
"P05","No sabe",0,0.03,0,0,0.021,0,0
"P06","Siempre",0.225,0.205,0.292,0.169,0.274,0,0.269
"P06","Casi siempre",0.361,0.424,0.376,0.341,0.256,0.609,0.295
"P06","Casi nunca",0.191,0.27,0.218,0.42,0.239,0.357,0.336
"P06","Nunca, pero esta es una excepción",0.223,0.101,0.114,0.07,0.231,0.034,0.1
"P07","Tiene Decidido que va a ir a votar.",0.867,0.855,0.848,0.831,0.9,0.838,0.627
"P07","Tiene dudas sobre si va a ir a  votar",0.102,0.117,0.137,0.093,0.066,0.162,0.306
"P07","Tiene Decidido que no va a ir a votar",0.031,0.028,0.015,0.076,0.034,0,0.067
"P09","Unión por la Patria",0.746,0.412,0.065,0.066,0.019,0.115,0.268
"P09","Juntos por el Cambio",0.077,0.251,0.624,0.684,0.058,0.005,0.092
"P09","De los Liberales libertarios",0.083,0.099,0.206,0.127,0.893,0,0.024
"P09","De la Izquierda",0.005,0.013,0.007,0.038,0.002,0.823,0
"P09","Hacemos por nuestro país",0,0.011,0,0.005,0.016,0,0.076
"P09","Otro",0.052,0.101,0.098,0.063,0,0.057,0.442
"P09","En blanco",0.005,0.015,0,0.013,0.01,0,0.045
"P09","No sabe",0.032,0.098,0,0.004,0.002,0,0.053
"P15","Totalmente seguro.",0.689,0.607,0.824,0.617,0.903,0.804,0.363
"P15","Bastante seguro",0.126,0.162,0.107,0.194,0.04,0.005,0.048
"P15","Algo seguro",0.052,0.105,0.026,0.101,0.044,0.052,0.053
"P15","Para nada seguro",0.133,0.126,0.043,0.088,0.013,0.139,0.536
"P23","Totalmente seguro",0.776,0.585,0.714,0.608,0.914,0.873,0.417
"P23","Bastante seguro",0.127,0.24,0.109,0.202,0.034,0,0.097
"P23","Algo seguro",0.036,0.091,0.039,0.064,0.029,0.127,0.03
"P23","Para nada seguro",0.061,0.084,0.138,0.126,0.023,0,0.456
"P24","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.74,0.231,0.054,0.045,0.093,0.15,0
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.091,0.228,0.729,0.448,0.111,0.04,0.131
"P24","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.069,0.098,0.15,0.196,0.708,0.018,0.044
"P24","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.028,0.037,0.035,0.023,0.005,0.709,0.047
"P24","Otros",0.039,0.257,0.021,0.235,0.007,0.083,0.431
"P24","No sabe",0.033,0.149,0.011,0.053,0.076,0,0.347
"P27","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.71,0.217,0.21,0.095,0.133,0.022,0.115
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.183,0.194,0.362,0.55,0.073,0.005,0.022
"P27","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.041,0.109,0.18,0.14,0.762,0.015,0.022
"P27","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.003,0.028,0.028,0.025,0,0.839,0.022
"P27","Otros",0.026,0.321,0.098,0.125,0.009,0.119,0.646
"P27","No sabe",0.037,0.131,0.122,0.065,0.023,0,0.173
"P28","Lo votaría",0.763,0.177,0.109,0.012,0.087,0.024,0.079
"P28","Puede que lo vote",0.064,0.176,0.069,0.094,0.097,0.018,0.074
"P28","Nunca lo votaría",0.118,0.608,0.818,0.807,0.803,0.681,0.233
"P28","No sabe",0.055,0.039,0.004,0.087,0.013,0.277,0.614
"P29","Lo votaría",0.389,0.126,0.1,0.035,0.037,0.107,0
"P29","Puede que lo vote",0.188,0.167,0.084,0.011,0.022,0,0.122
"P29","Nunca lo votaría",0.311,0.638,0.816,0.876,0.93,0.893,0.276
"P29","No sabe",0.112,0.069,0,0.078,0.011,0,0.602
"P30","Lo votaría",0.249,0.41,0.118,0.003,0.053,0.024,0.145
"P30","Puede que lo vote",0.186,0.116,0.071,0.013,0.035,0.085,0.042
"P30","Nunca lo votaría",0.494,0.419,0.811,0.921,0.907,0.891,0.227
"P30","No sabe",0.071,0.055,0,0.063,0.005,0,0.586
"P31","Lo votaría",0.115,0.203,0.729,0.349,0.088,0.042,0.028
"P31","Puede que lo vote",0.099,0.144,0.128,0.35,0.282,0.03,0.107
"P31","Nunca lo votaría",0.733,0.602,0.143,0.273,0.571,0.928,0.655
"P31","No sabe",0.053,0.051,0,0.028,0.059,0,0.21
"P32","Lo votaría",0.099,0.128,0.488,0.628,0.064,0,0.017
"P32","Puede que lo vote",0.051,0.171,0.165,0.25,0.215,0,0.14
"P32","Nunca lo votaría",0.788,0.633,0.308,0.104,0.658,1,0.182
"P32","No sabe",0.062,0.068,0.039,0.018,0.063,0,0.661
"P33","Lo votaría",0.121,0.076,0.344,0.183,0.721,0.021,0.024
"P33","Puede que lo vote",0.052,0.145,0.134,0.155,0.077,0.029,0.059
"P33","Nunca lo votaría",0.783,0.713,0.512,0.58,0.194,0.765,0.204
"P33","No sabe",0.044,0.066,0.01,0.082,0.008,0.185,0.713
"P34","Si",0.358,0.394,0.316,0.323,0.52,0.446,0.13
"P34","No",0.642,0.606,0.684,0.677,0.48,0.554,0.87
