"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld"
"Sí",0.264,0.267,0.261,0.16,0.299,0.274,0.303,0.291,0.243,0.265,0.253,0.293,0.263,0.295,0.242,0.169,0.112
"No",0.736,0.733,0.739,0.84,0.701,0.726,0.697,0.709,0.757,0.735,0.747,0.707,0.737,0.705,0.758,0.831,0.888
