"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza","Alguno de los candidatos a presidente y gobernador de la Izquierda","Otros"
"P05","Mucho",0.466,0.403,0.467,0.325,0.544,0.312,0.411
"P05","Bastante",0.396,0.31,0.226,0.461,0.183,0.458,0.201
"P05","Poco",0.108,0.155,0.212,0.147,0.202,0.03,0.313
"P05","Nada",0.009,0.132,0.085,0.067,0.057,0.155,0.073
"P05","No sabe",0.021,0,0.01,0,0.014,0.045,0.002
"P06","Siempre",0.203,0.22,0.235,0.226,0.181,0.074,0.237
"P06","Casi siempre",0.384,0.462,0.378,0.368,0.29,0.529,0.211
"P06","Casi nunca",0.222,0.153,0.28,0.323,0.365,0.375,0.485
"P06","Nunca, pero esta es una excepción",0.191,0.165,0.107,0.083,0.164,0.022,0.067
"P07","Tiene Decidido que va a ir a votar.",0.852,0.875,0.861,0.844,0.854,0.694,0.749
"P07","Tiene dudas sobre si va a ir a  votar",0.128,0.061,0.115,0.044,0.099,0.283,0.238
"P07","Tiene Decidido que no va a ir a votar",0.02,0.064,0.024,0.112,0.047,0.023,0.013
"P09","Unión por la Patria",0.7,0.71,0.076,0.074,0.105,0.125,0.286
"P09","Juntos por el Cambio",0.059,0.079,0.757,0.722,0.073,0.092,0.037
"P09","De los Liberales libertarios",0.093,0.042,0.047,0.081,0.781,0,0.033
"P09","De la Izquierda",0.008,0.037,0.005,0.043,0,0.592,0.038
"P09","Hacemos por nuestro país",0.004,0.023,0.004,0.005,0,0,0.036
"P09","Otro",0.029,0.083,0.054,0.07,0.014,0.191,0.538
"P09","En blanco",0.027,0,0.011,0,0.008,0,0
"P09","No sabe",0.08,0.026,0.046,0.005,0.019,0,0.032
"P15","Totalmente seguro.",0.672,0.651,0.723,0.575,0.783,0.8,0.398
"P15","Bastante seguro",0.174,0.154,0.141,0.183,0.086,0.074,0.089
"P15","Algo seguro",0.047,0.084,0.069,0.125,0.061,0.033,0.123
"P15","Para nada seguro",0.107,0.111,0.067,0.117,0.07,0.093,0.39
"P23","Totalmente seguro",0.62,0.685,0.666,0.533,0.731,0.48,0.595
"P23","Bastante seguro",0.173,0.248,0.183,0.23,0.117,0.475,0.169
"P23","Algo seguro",0.122,0.039,0.048,0.071,0.085,0.045,0.014
"P23","Para nada seguro",0.085,0.028,0.103,0.166,0.067,0,0.222
"P24","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.773,0.276,0.074,0.033,0.073,0.124,0.092
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.037,0.138,0.739,0.352,0.11,0.207,0.092
"P24","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.074,0.117,0.045,0.104,0.683,0.036,0.023
"P24","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.02,0.09,0.006,0.029,0.006,0.583,0.045
"P24","Otros",0.036,0.257,0.087,0.364,0.062,0.05,0.506
"P24","No sabe",0.06,0.122,0.049,0.118,0.066,0,0.242
"P27","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.719,0.361,0.086,0.13,0.109,0.04,0.012
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.143,0.161,0.476,0.602,0.06,0,0.073
"P27","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.025,0.034,0.097,0.054,0.756,0.069,0.006
"P27","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.011,0.048,0.017,0,0.006,0.8,0.049
"P27","Otros",0.055,0.305,0.191,0.1,0.045,0.091,0.753
"P27","No sabe",0.047,0.091,0.133,0.114,0.024,0,0.107
"P28","Lo votaría",0.749,0.234,0.035,0.019,0.092,0.044,0.124
"P28","Puede que lo vote",0.077,0.24,0.068,0.128,0.053,0.073,0.331
"P28","Nunca lo votaría",0.131,0.497,0.835,0.765,0.832,0.691,0.155
"P28","No sabe",0.043,0.029,0.062,0.088,0.023,0.192,0.39
"P29","Lo votaría",0.262,0.426,0.047,0.06,0.038,0,0.189
"P29","Puede que lo vote",0.235,0.256,0.016,0.038,0.008,0.045,0.039
"P29","Nunca lo votaría",0.35,0.302,0.873,0.894,0.913,0.955,0.45
"P29","No sabe",0.153,0.016,0.064,0.008,0.041,0,0.322
"P30","Lo votaría",0.267,0.699,0.077,0.032,0.053,0.109,0.233
"P30","Puede que lo vote",0.186,0.151,0.027,0.059,0.053,0.023,0.009
"P30","Nunca lo votaría",0.465,0.135,0.831,0.886,0.877,0.868,0.343
"P30","No sabe",0.082,0.015,0.065,0.023,0.017,0,0.415
"P31","Lo votaría",0.056,0.151,0.688,0.164,0.099,0.036,0.187
"P31","Puede que lo vote",0.103,0.051,0.16,0.462,0.283,0.026,0.047
"P31","Nunca lo votaría",0.782,0.773,0.124,0.326,0.58,0.938,0.569
"P31","No sabe",0.059,0.025,0.028,0.048,0.038,0,0.197
"P32","Lo votaría",0.05,0.153,0.43,0.717,0.076,0,0.102
"P32","Puede que lo vote",0.071,0.06,0.362,0.152,0.16,0.047,0.055
"P32","Nunca lo votaría",0.808,0.761,0.168,0.082,0.715,0.953,0.393
"P32","No sabe",0.071,0.026,0.04,0.049,0.049,0,0.45
"P33","Lo votaría",0.053,0.064,0.103,0.089,0.775,0.018,0.125
"P33","Puede que lo vote",0.061,0.123,0.24,0.139,0.028,0.054,0.011
"P33","Nunca lo votaría",0.819,0.809,0.601,0.661,0.187,0.768,0.428
"P33","No sabe",0.067,0.004,0.056,0.111,0.01,0.16,0.436
"P34","Si",0.388,0.375,0.393,0.25,0.457,0.59,0.13
"P34","No",0.612,0.625,0.607,0.75,0.543,0.41,0.87
