"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  por la Libertad Avanza","Alguno de los candidatos a presidente y gobernador de la Izquierda","Otros","No sabe"
"P05","Mucho",0.446,0.467,0.46,0.351,0.547,0.201,0.496,0.091
"P05","Bastante",0.268,0.353,0.267,0.506,0.245,0.282,0.152,0.476
"P05","Poco",0.231,0.102,0.192,0.128,0.173,0.054,0.352,0.299
"P05","Nada",0.006,0.078,0.068,0.015,0.022,0.361,0,0.113
"P05","No sabe",0.049,0,0.013,0,0.013,0.102,0,0.021
"P06","Siempre",0.156,0.233,0.221,0.266,0.154,0.156,0.168,0.172
"P06","Casi siempre",0.377,0.514,0.371,0.403,0.404,0.488,0.151,0.467
"P06","Casi nunca",0.304,0.169,0.298,0.288,0.366,0.356,0.629,0.296
"P06","Nunca, pero esta es una excepción",0.163,0.084,0.11,0.043,0.076,0,0.052,0.065
"P07","Tiene Decidido que va a ir a votar.",0.82,0.956,0.863,0.953,0.771,0.505,0.846,0.856
"P07","Tiene dudas sobre si va a ir a  votar",0.146,0.032,0.107,0,0.178,0.445,0.154,0.144
"P07","Tiene Decidido que no va a ir a votar",0.034,0.012,0.03,0.047,0.051,0.05,0,0
"P09","Unión por la Patria",0.552,0.724,0.084,0.06,0.159,0.253,0.281,0.158
"P09","Juntos por el Cambio",0.122,0.08,0.787,0.783,0.122,0.205,0.037,0
"P09","De los Liberales libertarios",0.121,0.041,0.042,0.108,0.642,0,0.04,0.047
"P09","De la Izquierda",0.017,0.055,0.005,0,0,0.141,0.065,0
"P09","Hacemos por nuestro país",0.008,0,0.006,0,0,0,0.007,0
"P09","Otro",0.007,0.055,0.047,0.045,0.029,0.401,0.556,0.201
"P09","En blanco",0.042,0,0.009,0,0.014,0,0,0.186
"P09","No sabe",0.131,0.045,0.02,0.004,0.034,0,0.014,0.408
"P15","Totalmente seguro.",0.621,0.67,0.715,0.571,0.685,0.801,0.414,0.281
