"var","categoria","Si","No"
"P12_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.231,0.227
"P12_imputada","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.035,0.049
"P12_imputada","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.183,0.13
"P12_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.182,0.17
"P12_imputada","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.093,0.174
"P12_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.242,0.179
"P12_imputada","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.03,0.023
"P12_imputada","Otros",0.004,0.048
"PRESIDENTE_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.26,0.25
"PRESIDENTE_imputada","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.123,0.125
"PRESIDENTE_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.224,0.211
"PRESIDENTE_imputada","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.093,0.17
"PRESIDENTE_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.251,0.181
"PRESIDENTE_imputada","Alguno de los candidatos a presidente y gobernador de la Izquierda",0.037,0.016
"PRESIDENTE_imputada","Otros",0.012,0.047
"INTENDENTE_imputada","Malena Galmarini a intendenta por Unión por la Patria",0.226,0.247
"INTENDENTE_imputada","Julio Zamora a intendente por Unión por la Patria",0.296,0.277
"INTENDENTE_imputada","Claudio Cufré a intendente por Juntos por el Cambio",0.061,0.081
"INTENDENTE_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.187,0.239
"INTENDENTE_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.2,0.112
"INTENDENTE_imputada","Alguno de los candidatos a intendente de la Izquierda",0.024,0.018
"INTENDENTE_imputada","Otros",0.006,0.026
"INTENDENTE_CORTA_1_imputada","Malena Galmarini a intendenta por Unión por la Patria",0.192,0.178
"INTENDENTE_CORTA_1_imputada","Julio Zamora a intendente por Unión por la Patria",0.063,0.051
"INTENDENTE_CORTA_1_imputada","Claudio Cufré a intendente por Juntos por el Cambio",0.403,0.337
"INTENDENTE_CORTA_1_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.054,0.151
"INTENDENTE_CORTA_1_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.257,0.186
"INTENDENTE_CORTA_1_imputada","Alguno de los candidatos a intendente de la Izquierda",0.024,0.034
"INTENDENTE_CORTA_1_imputada","Otros",0.007,0.063
"INTENDENTE_CORTA_2_imputada","Malena Galmarini a intendenta por Unión por la Patria",0.069,0.086
"INTENDENTE_CORTA_2_imputada","Julio Zamora a intendente por Unión por la Patria",0.424,0.467
"INTENDENTE_CORTA_2_imputada","Claudio Cufré a intendente por Juntos por el Cambio",0.072,0.085
"INTENDENTE_CORTA_2_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.317,0.314
"INTENDENTE_CORTA_2_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.1,0.03
"INTENDENTE_CORTA_2_imputada","Alguno de los candidatos a intendente de la Izquierda",0,0.014
"INTENDENTE_CORTA_2_imputada","Otros",0.018,0.004
