"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld","NA","NA","NA","NA","NA"
"Malena Galmarini a intendenta por Unión por la Patria",0.191,0.175,0.203,0.187,0.158,0.271,0.156,0.259,0.153,0.174,0.249,0.129,0.078,0.506,0.249,0.129,0.078,0.506,0.047,0.158,0.22,0.214
"Julio Zamora a intendente por Unión por la Patria",0.064,0.066,0.062,0.121,0.048,0.058,0.055,0.036,0.059,0.098,0.097,0.032,0,0,0.097,0.032,0,0,0,0.046,0.069,0.081
"Claudio Cufré a intendente por Juntos por el Cambio",0.301,0.292,0.308,0.245,0.214,0.386,0.438,0.312,0.288,0.309,0.229,0.454,0.829,0.043,0.229,0.454,0.829,0.043,0.132,0.277,0.341,0.31
"Segundo Cernadas a intendente por Juntos por el Cambio",0.136,0.089,0.171,0,0.188,0.131,0.148,0.109,0.216,0.053,0.143,0.135,0,0,0.143,0.135,0,0,0.121,0.181,0.13,0.088
"Claudio Baumgarten a intendente por la Libertad Avanza",0.206,0.271,0.157,0.326,0.289,0.101,0.049,0.157,0.208,0.253,0.172,0.234,0.093,0,0.172,0.234,0.093,0,0.343,0.227,0.159,0.205
"Alguno de los candidatos a intendente de la Izquierda",0.023,0.003,0.039,0.055,0,0.005,0.074,0.041,0,0.037,0.04,0.002,0,0.047,0.04,0.002,0,0.047,0,0.021,0.029,0.023
"Otros",0.079,0.104,0.06,0.066,0.103,0.048,0.08,0.086,0.076,0.076,0.07,0.014,0,0.404,0.07,0.014,0,0.404,0.357,0.09,0.052,0.079
