"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld"
"Si",0.378,0.445,0.318,0.325,0.385,0.405,0.404,0.431,0.303,0.435,0.334,0.46,0.389,0.39,0.384,0.253,0.303
"No",0.622,0.555,0.682,0.675,0.615,0.595,0.596,0.569,0.697,0.565,0.666,0.54,0.611,0.61,0.616,0.747,0.697
