"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld"
"Sí",0.385,0.367,0.402,0.24,0.413,0.428,0.456,0.376,0.389,0.391,0.356,0.385,0.416,0.388,0.427,0.215,0.227
"No",0.615,0.633,0.598,0.76,0.587,0.572,0.544,0.624,0.611,0.609,0.644,0.615,0.584,0.612,0.573,0.785,0.773
