"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P08","Siempre",0.229,0.205,0.161,0.088
"P08","Casi siempre",0.249,0.342,0.292,0.241
"P08","Casi nunca",0.328,0.338,0.364,0.338
"P08","Nunca, pero esta es una excepción",0.194,0.115,0.183,0.333
"P09","Adriana Nazario por Hacemos Unidos por Córdoba",0.549,0.127,0.019,0.031
"P09","Guillermo De Rivas por Hacemos Unidos por Córdoba",0.051,0.177,0.149,0.051
"P09","Gonzalo Parodi por la UCR",0.034,0.103,0.206,0.103
"P09","Mauricio Dova por Hacemos Unidos por Córdoba",0.075,0.066,0.051,0.075
"P09","Gabriel Abrile por la Libertad Avanza",0.195,0.348,0.353,0.187
"P09","Ivon Tesio por partido Vecinal",0.019,0.006,0.015,0.016
"P09","Pablo Carrizo por partido conciencia desarrollista",0.015,0.017,0.055,0.058
"P09","En blanco",0.034,0.047,0.05,0.07
"P09","No sabe",0.028,0.109,0.102,0.409
"P14","La votaría",0.326,0.14,0.138,0.059
"P14","Puede que la vote",0.196,0.478,0.126,0.063
"P14","Nunca la votaría",0.339,0.306,0.659,0.14
"P14","No sabe",0.139,0.076,0.077,0.738
"P15","La votaría",0.165,0.168,0.212,0.08
"P15","Puede que la vote",0.207,0.291,0.176,0.063
"P15","Nunca la votaría",0.477,0.401,0.506,0.177
"P15","No sabe",0.151,0.14,0.106,0.68
"P16","La votaría",0.148,0.023,0.036,0.027
"P16","Puede que la vote",0.15,0.283,0.114,0.011
"P16","Nunca la votaría",0.519,0.513,0.746,0.187
"P16","No sabe",0.183,0.181,0.104,0.775
"P17","La votaría",0.213,0.206,0.366,0.122
"P17","Puede que la vote",0.167,0.281,0.143,0.052
"P17","Nunca la votaría",0.483,0.361,0.437,0.168
"P17","No sabe",0.137,0.152,0.054,0.658
"P18","Muy buena",0.305,0.136,0.069,0.08
"P18","Buena",0.17,0.243,0.105,0.123
"P18","Ni buena ni mala",0.324,0.404,0.254,0.31
"P18","Mala",0.116,0.187,0.386,0.313
"P18","Muy mala",0.064,0.03,0.183,0.073
"P18","No sabe",0.021,0,0.003,0.101
"P19","Muy buena",0.194,0.156,0.282,0.105
"P19","Buena",0.264,0.207,0.289,0.233
"P19","Ni buena ni mala",0.248,0.389,0.215,0.257
"P19","Mala",0.171,0.149,0.143,0.194
"P19","Muy mala",0.107,0.089,0.07,0.082
"P19","No sabe",0.016,0.01,0.001,0.129
"P20","Muy buena",0.192,0.117,0.296,0.087
"P20","Buena",0.153,0.16,0.222,0.107
"P20","Ni buena ni mala",0.399,0.487,0.257,0.346
"P20","Mala",0.124,0.107,0.148,0.171
"P20","Muy mala",0.071,0.07,0.054,0.074
"P20","No sabe",0.061,0.059,0.023,0.215
"P21","Muy buena",0.463,0.293,0.198,0.27
"P21","Buena",0.218,0.224,0.24,0.278
"P21","Ni buena ni mala",0.177,0.3,0.281,0.218
"P21","Mala",0.08,0.127,0.184,0.103
"P21","Muy mala",0.058,0.056,0.087,0.028
"P21","No sabe",0.004,0,0.01,0.103
"P22","Muy buena",0.326,0.352,0.529,0.361
"P22","Buena",0.126,0.105,0.156,0.211
"P22","Ni buena ni mala",0.195,0.249,0.116,0.108
"P22","Mala",0.208,0.142,0.098,0.085
"P22","Muy mala",0.12,0.148,0.1,0.132
"P22","No sabe",0.025,0.004,0.001,0.103
"P23","Muy buena",0.259,0.131,0.068,0.095
"P23","Buena",0.085,0.074,0.038,0.052
"P23","Ni buena ni mala",0.171,0.237,0.099,0.114
"P23","Mala",0.29,0.296,0.352,0.289
"P23","Muy mala",0.187,0.255,0.441,0.388
"P23","No sabe",0.008,0.007,0.002,0.062
"P24","Muy buena",0.157,0.099,0.21,0.098
"P24","Buena",0.187,0.225,0.279,0.224
"P24","Ni buena ni mala",0.251,0.296,0.241,0.288
"P24","Mala",0.244,0.174,0.139,0.152
"P24","Muy mala",0.159,0.201,0.131,0.157
"P24","No sabe",0.002,0.005,0,0.081
"P25","Muy buena",0.134,0.065,0.035,0.01
"P25","Buena",0.191,0.171,0.055,0.077
"P25","Ni buena ni mala",0.219,0.248,0.133,0.22
"P25","Mala",0.248,0.253,0.306,0.211
"P25","Muy mala",0.208,0.252,0.468,0.408
"P25","No sabe",0,0.011,0.003,0.074
