"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Llaryora","Juez","Garcia Elorrio","Spaccesi","Massa","Bullrich","Milei","Bregman","Schiaretti","opinion","grupo"
"Javier Milei","Muy buena",0.409,0.487,0.332,0.339,0.47,0.43,0.351,0.406,0.415,0.404,0.285,0.588,0.319,0.675,0.114,0.435,0.693,0.203,0.126,"Positiva","Javier Milei Positiva"
"Javier Milei","Buena",0.15,0.122,0.178,0.183,0.111,0.153,0.183,0.128,0.184,0.129,0.138,0.189,0.036,0.138,0.033,0.249,0.127,0.027,0.243,"Positiva","Javier Milei Positiva"
"Javier Milei","Ni buena ni mala",0.16,0.129,0.19,0.179,0.138,0.161,0.175,0.225,0.144,0.122,0.219,0.112,0.342,0.039,0.193,0.196,0.099,0.144,0.262,"Neutra","Javier Milei Neutra"
"Javier Milei","Mala",0.133,0.116,0.15,0.171,0.102,0.126,0.155,0.13,0.117,0.155,0.174,0.057,0.197,0.073,0.271,0.078,0.048,0.293,0.205,"Negativa","Javier Milei Negativa"
"Javier Milei","Muy mala",0.12,0.106,0.134,0.128,0.142,0.114,0.071,0.04,0.127,0.179,0.166,0.051,0.106,0.066,0.381,0.04,0.028,0.333,0.164,"Negativa","Javier Milei Negativa"
"Javier Milei","No sabe",0.028,0.04,0.016,0,0.037,0.016,0.065,0.071,0.013,0.011,0.018,0.003,0,0.009,0.008,0.002,0.005,0,0,"No sabe","Javier Milei No sabe"
"Juan Schiaretti","Muy buena",0.301,0.273,0.328,0.351,0.235,0.332,0.332,0.45,0.28,0.2,0.409,0.187,0.149,0.31,0.286,0.197,0.311,0,0.557,"Positiva","Juan Schiaretti Positiva"
"Juan Schiaretti","Buena",0.239,0.246,0.231,0.233,0.287,0.232,0.152,0.171,0.254,0.279,0.258,0.288,0.102,0.145,0.185,0.263,0.269,0.173,0.243,"Positiva","Juan Schiaretti Positiva"
"Juan Schiaretti","Ni buena ni mala",0.244,0.248,0.24,0.24,0.208,0.263,0.301,0.229,0.268,0.229,0.189,0.339,0.492,0.136,0.251,0.36,0.233,0.193,0.143,"Neutra","Juan Schiaretti Neutra"
"Juan Schiaretti","Mala",0.129,0.148,0.111,0.087,0.167,0.116,0.126,0.084,0.138,0.157,0.099,0.124,0.175,0.284,0.192,0.122,0.119,0.301,0.027,"Negativa","Juan Schiaretti Negativa"
