"var","categoria","Adriana Nazario por Hacemos Unidos por Córdoba","Guillermo De Rivas por Hacemos Unidos por Córdoba","Gonzalo Parodi por la UCR","Mauricio Dova por Hacemos Unidos por Córdoba","Gabriel Abrile por la Libertad Avanza","Ivon Tesio por partido Vecinal","Pablo Carrizo por partido conciencia desarrollista","En blanco","No sabe"
"P08","Siempre",0.221,0.161,0.247,0.202,0.139,0.049,0.14,0.218,0.1
"P08","Casi siempre",0.273,0.367,0.268,0.248,0.264,0.409,0.119,0.207,0.361
"P08","Casi nunca",0.349,0.32,0.418,0.248,0.385,0.183,0.284,0.304,0.315
"P08","Nunca, pero esta es una excepción",0.157,0.152,0.067,0.302,0.212,0.359,0.457,0.271,0.224
"P13","La votaría",0.799,0.123,0.073,0.303,0.185,0.333,0.1,0.182,0.049
"P13","Puede que la vote",0.127,0.297,0.155,0.183,0.227,0.069,0.079,0.17,0.132
"P13","Nunca la votaría",0.037,0.479,0.592,0.272,0.444,0.363,0.502,0.348,0.237
"P13","No sabe",0.037,0.101,0.18,0.242,0.144,0.235,0.319,0.3,0.582
"P14","La votaría",0.156,0.586,0.063,0.183,0.132,0,0.088,0.23,0.051
"P14","Puede que la vote",0.255,0.277,0.202,0.217,0.16,0.383,0,0.152,0.159
"P14","Nunca la votaría",0.399,0.117,0.545,0.337,0.509,0.552,0.526,0.346,0.327
"P14","No sabe",0.19,0.02,0.19,0.263,0.199,0.065,0.386,0.272,0.463
"P15","La votaría",0.081,0.051,0.687,0.203,0.132,0.309,0,0.03,0.022
"P15","Puede que la vote",0.261,0.17,0.127,0.161,0.211,0.091,0.058,0.122,0.148
"P15","Nunca la votaría",0.46,0.631,0.106,0.389,0.432,0.6,0.572,0.506,0.333
"P15","No sabe",0.198,0.148,0.08,0.247,0.225,0,0.37,0.342,0.497
"P16","La votaría",0.065,0.003,0.044,0.173,0.088,0.314,0.036,0.033,0.003
"P16","Puede que la vote",0.157,0.169,0.097,0.256,0.163,0.051,0.055,0,0.076
"P16","Nunca la votaría",0.528,0.689,0.684,0.267,0.519,0.612,0.596,0.615,0.345
"P16","No sabe",0.25,0.139,0.175,0.304,0.23,0.023,0.313,0.352,0.576
"P17","La votaría",0.141,0.185,0.226,0.154,0.527,0.412,0.03,0.022,0.021
"P17","Puede que la vote",0.213,0.109,0.178,0.077,0.172,0.188,0.01,0.154,0.13
"P17","Nunca la votaría",0.453,0.571,0.41,0.54,0.193,0.4,0.661,0.547,0.3
"P17","No sabe",0.193,0.135,0.186,0.229,0.108,0,0.299,0.277,0.549
"P18","Muy buena",0.29,0.263,0.125,0.114,0.113,0.177,0.169,0,0.026
"P18","Buena",0.185,0.167,0.131,0.222,0.094,0.338,0.027,0.266,0.172
"P18","Ni buena ni mala",0.326,0.298,0.232,0.388,0.297,0.222,0.586,0.385,0.283
"P18","Mala",0.157,0.226,0.283,0.141,0.358,0.208,0.195,0.217,0.296
"P18","Muy mala",0.011,0.046,0.184,0.127,0.136,0.055,0.023,0.053,0.142
"P18","No sabe",0.031,0,0.045,0.008,0.002,0,0,0.079,0.081
"P19","Muy buena",0.176,0.111,0.245,0.155,0.305,0.133,0.112,0.018,0.143
"P19","Buena",0.219,0.173,0.263,0.254,0.351,0.389,0.242,0.241,0.148
"P19","Ni buena ni mala",0.24,0.284,0.248,0.269,0.251,0.201,0.201,0.334,0.323
"P19","Mala",0.228,0.349,0.131,0.078,0.048,0.172,0.303,0.201,0.193
"P19","Muy mala",0.137,0.083,0.07,0.155,0.02,0.105,0.142,0.121,0.113
"P19","No sabe",0,0,0.043,0.089,0.025,0,0,0.085,0.08
"P20","Muy buena",0.126,0.104,0.256,0.185,0.307,0.168,0.159,0.057,0.113
"P20","Buena",0.122,0.188,0.203,0.25,0.204,0.366,0.023,0.164,0.088
"P20","Ni buena ni mala",0.385,0.381,0.301,0.325,0.337,0.097,0.592,0.372,0.358
"P20","Mala",0.191,0.159,0.129,0.125,0.102,0.181,0.131,0.167,0.135
"P20","Muy mala",0.095,0.092,0.02,0.028,0.024,0.133,0.095,0.121,0.116
"P20","No sabe",0.081,0.076,0.091,0.087,0.026,0.055,0,0.119,0.19
"P21","Muy buena",0.486,0.274,0.25,0.355,0.213,0.234,0.432,0.085,0.333
"P21","Buena",0.223,0.295,0.275,0.062,0.276,0.399,0.138,0.041,0.249
"P21","Ni buena ni mala",0.17,0.231,0.254,0.266,0.294,0.095,0.183,0.483,0.181
"P21","Mala",0.074,0.159,0.123,0.116,0.158,0.179,0.149,0.194,0.098
"P21","Muy mala",0.041,0.041,0.098,0.102,0.044,0.093,0.098,0.104,0.067
"P21","No sabe",0.006,0,0,0.099,0.015,0,0,0.093,0.072
"P22","Muy buena",0.24,0.329,0.354,0.179,0.715,0.198,0.272,0.127,0.333
"P22","Buena",0.127,0.085,0.219,0.099,0.141,0.32,0.029,0.096,0.24
"P22","Ni buena ni mala",0.189,0.161,0.199,0.22,0.085,0.104,0.117,0.401,0.158
"P22","Mala",0.255,0.219,0.113,0.18,0.044,0.242,0.185,0.203,0.041
"P22","Muy mala",0.153,0.189,0.115,0.223,0.015,0.136,0.397,0.173,0.12
"P22","No sabe",0.036,0.017,0,0.099,0,0,0,0,0.108
"P23","Muy buena",0.201,0.131,0.078,0.199,0.1,0.164,0.313,0.038,0.135
"P23","Buena",0.081,0.074,0.027,0.018,0.043,0.491,0.069,0.134,0.031
"P23","Ni buena ni mala",0.14,0.194,0.177,0.377,0.087,0,0.263,0.347,0.045
"P23","Mala",0.322,0.294,0.392,0.233,0.297,0.22,0.23,0.17,0.386
