"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Llaryora","Juez","Garcia Elorrio","Spaccesi","Massa","Bullrich","Milei","Bregman","Schiaretti"
"Siempre",0.164,0.156,0.171,0.151,0.108,0.174,0.289,0.235,0.151,0.116,0.187,0.193,0.41,0.039,0.256,0.228,0.113,0.155,0.159
"Casi siempre",0.279,0.26,0.298,0.202,0.277,0.336,0.333,0.258,0.308,0.264,0.312,0.263,0.209,0.238,0.279,0.341,0.233,0.41,0.276
"Casi nunca",0.358,0.386,0.331,0.361,0.383,0.351,0.307,0.344,0.319,0.417,0.361,0.374,0.315,0.229,0.339,0.336,0.382,0.249,0.314
"Nunca, pero esta es una excepción",0.199,0.198,0.2,0.286,0.232,0.139,0.071,0.163,0.222,0.203,0.14,0.17,0.066,0.494,0.126,0.095,0.272,0.186,0.251
