"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Llaryora","Juez","Garcia Elorrio","Spaccesi","Massa","Bullrich","Milei","Bregman","Schiaretti","opciones"
"Muy buena",0.409,0.487,0.332,0.339,0.47,0.43,0.351,0.406,0.415,0.404,0.285,0.588,0.319,0.675,0.114,0.435,0.693,0.203,0.126,6
"Buena",0.15,0.122,0.178,0.183,0.111,0.153,0.183,0.128,0.184,0.129,0.138,0.189,0.036,0.138,0.033,0.249,0.127,0.027,0.243,6
"Ni buena ni mala",0.16,0.129,0.19,0.179,0.138,0.161,0.175,0.225,0.144,0.122,0.219,0.112,0.342,0.039,0.193,0.196,0.099,0.144,0.262,6
"Mala",0.133,0.116,0.15,0.171,0.102,0.126,0.155,0.13,0.117,0.155,0.174,0.057,0.197,0.073,0.271,0.078,0.048,0.293,0.205,6
"Muy mala",0.12,0.106,0.134,0.128,0.142,0.114,0.071,0.04,0.127,0.179,0.166,0.051,0.106,0.066,0.381,0.04,0.028,0.333,0.164,6
"No sabe",0.028,0.04,0.016,0,0.037,0.016,0.065,0.071,0.013,0.011,0.018,0.003,0,0.009,0.008,0.002,0.005,0,0,6
"Positiva",0.559,0.609,0.51,0.522,0.581,0.583,0.534,0.534,0.599,0.533,0.423,0.777,0.355,0.813,0.147,0.684,0.82,0.23,0.369,4
"Neutra",0.16,0.129,0.19,0.179,0.138,0.161,0.175,0.225,0.144,0.122,0.219,0.112,0.342,0.039,0.193,0.196,0.099,0.144,0.262,4
"Negativa",0.253,0.222,0.284,0.299,0.244,0.24,0.226,0.17,0.244,0.334,0.34,0.108,0.303,0.139,0.652,0.118,0.076,0.626,0.369,4
"No sabe",0.028,0.04,0.016,0,0.037,0.016,0.065,0.071,0.013,0.011,0.018,0.003,0,0.009,0.008,0.002,0.005,0,0,4
