"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Llaryora","Juez","Garcia Elorrio","Spaccesi","Massa","Bullrich","Milei","Bregman","Schiaretti","opciones"
"Muy buena",0.194,0.177,0.21,0.175,0.157,0.214,0.272,0.223,0.18,0.185,0.115,0.364,0.071,0.079,0.118,0.439,0.144,0.29,0.052,6
"Buena",0.169,0.193,0.145,0.22,0.141,0.153,0.174,0.219,0.121,0.181,0.135,0.235,0.299,0.027,0.043,0.229,0.22,0.073,0.195,6
"Ni buena ni mala",0.355,0.319,0.39,0.352,0.362,0.364,0.331,0.311,0.423,0.312,0.421,0.298,0.434,0.302,0.324,0.255,0.417,0.325,0.412,6
"Mala",0.139,0.16,0.118,0.093,0.164,0.171,0.11,0.111,0.15,0.151,0.147,0.072,0,0.287,0.277,0.035,0.134,0.149,0.107,6
"Muy mala",0.065,0.082,0.049,0.109,0.068,0.037,0.034,0.013,0.066,0.11,0.093,0.01,0.196,0.186,0.175,0.028,0.028,0.163,0.094,6
"No sabe",0.078,0.069,0.088,0.051,0.108,0.061,0.079,0.123,0.06,0.061,0.089,0.021,0,0.119,0.063,0.014,0.057,0,0.14,6
"Positiva",0.363,0.37,0.355,0.395,0.298,0.367,0.446,0.442,0.301,0.366,0.25,0.599,0.37,0.106,0.161,0.668,0.364,0.363,0.247,4
"Neutra",0.355,0.319,0.39,0.352,0.362,0.364,0.331,0.311,0.423,0.312,0.421,0.298,0.434,0.302,0.324,0.255,0.417,0.325,0.412,4
"Negativa",0.204,0.242,0.167,0.202,0.232,0.208,0.144,0.124,0.216,0.261,0.24,0.082,0.196,0.473,0.452,0.063,0.162,0.312,0.201,4
"No sabe",0.078,0.069,0.088,0.051,0.108,0.061,0.079,0.123,0.06,0.061,0.089,0.021,0,0.119,0.063,0.014,0.057,0,0.14,4
