"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Llaryora","Juez","Garcia Elorrio","Spaccesi","Massa","Bullrich","Milei","Bregman","Schiaretti"
"Adriana Nazario por Hacemos Unidos por Córdoba",0.177,0.161,0.192,0.122,0.183,0.197,0.226,0.254,0.15,0.141,0.308,0.082,0.195,0.088,0.363,0.128,0.109,0.065,0.289
"Guillermo De Rivas por Hacemos Unidos por Córdoba",0.104,0.116,0.094,0.086,0.112,0.113,0.104,0.088,0.087,0.14,0.158,0.087,0.13,0.076,0.146,0.115,0.091,0.14,0.084
"Gonzalo Parodi por la UCR",0.118,0.128,0.11,0.094,0.129,0.122,0.129,0.142,0.105,0.113,0.104,0.173,0.103,0.097,0.082,0.172,0.112,0.067,0.13
"Mauricio Dova por Hacemos Unidos por Córdoba",0.067,0.034,0.098,0.126,0.038,0.051,0.058,0.071,0.099,0.023,0.086,0.035,0,0.023,0.084,0.066,0.039,0.139,0.11
"Gabriel Abrile por la Libertad Avanza",0.268,0.323,0.215,0.309,0.277,0.273,0.178,0.189,0.289,0.313,0.159,0.429,0.068,0.402,0.114,0.35,0.419,0.177,0.064
"Ivon Tesio por partido Vecinal",0.017,0.019,0.014,0.018,0.024,0.01,0.007,0.016,0.013,0.022,0.004,0.008,0.081,0,0.01,0.009,0.004,0.085,0.06
"Pablo Carrizo por partido conciencia desarrollista",0.037,0.032,0.042,0.043,0.05,0.008,0.036,0.048,0.034,0.031,0.044,0.041,0,0,0.018,0.031,0.031,0.128,0.075
"En blanco",0.055,0.059,0.051,0.073,0.037,0.033,0.093,0.051,0.062,0.051,0.033,0.044,0.303,0.045,0.034,0.033,0.055,0.199,0.067
"No sabe",0.157,0.128,0.184,0.129,0.15,0.193,0.169,0.141,0.161,0.166,0.104,0.101,0.12,0.269,0.149,0.096,0.14,0,0.121
