"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Llaryora","Juez","Garcia Elorrio","Spaccesi","Massa","Bullrich","Milei","Bregman","Schiaretti","opciones"
"Muy buena",0.2,0.194,0.205,0.145,0.196,0.243,0.232,0.271,0.188,0.151,0.104,0.391,0.172,0.134,0.12,0.376,0.23,0.049,0.015,6
"Buena",0.256,0.236,0.275,0.318,0.222,0.214,0.293,0.308,0.229,0.243,0.211,0.367,0.101,0.078,0.113,0.359,0.295,0.049,0.313,6
"Ni buena ni mala",0.264,0.269,0.259,0.253,0.24,0.329,0.248,0.258,0.287,0.241,0.288,0.201,0.389,0.284,0.227,0.188,0.283,0.346,0.276,6
"Mala",0.162,0.173,0.152,0.133,0.206,0.135,0.146,0.078,0.195,0.197,0.272,0.028,0.287,0.166,0.323,0.064,0.119,0.291,0.229,6
"Muy mala",0.085,0.086,0.085,0.13,0.09,0.064,0.037,0.02,0.085,0.144,0.099,0.009,0.051,0.204,0.207,0.013,0.043,0.265,0.106,6
"No sabe",0.033,0.042,0.024,0.021,0.046,0.015,0.044,0.065,0.016,0.024,0.026,0.004,0,0.134,0.01,0,0.03,0,0.061,6
"Positiva",0.456,0.43,0.48,0.463,0.418,0.457,0.525,0.579,0.417,0.394,0.315,0.758,0.273,0.212,0.233,0.735,0.525,0.098,0.328,4
"Neutra",0.264,0.269,0.259,0.253,0.24,0.329,0.248,0.258,0.287,0.241,0.288,0.201,0.389,0.284,0.227,0.188,0.283,0.346,0.276,4
"Negativa",0.247,0.259,0.237,0.263,0.296,0.199,0.183,0.098,0.28,0.341,0.371,0.037,0.338,0.37,0.53,0.077,0.162,0.556,0.335,4
"No sabe",0.033,0.042,0.024,0.021,0.046,0.015,0.044,0.065,0.016,0.024,0.026,0.004,0,0.134,0.01,0,0.03,0,0.061,4
