"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Llaryora","Juez","Garcia Elorrio","Spaccesi","Massa","Bullrich","Milei","Bregman","Schiaretti"
"La votaría",0.173,0.186,0.16,0.193,0.127,0.142,0.28,0.201,0.156,0.168,0.246,0.16,0.597,0.061,0.295,0.171,0.149,0.208,0.143
"Puede que la vote",0.197,0.196,0.197,0.266,0.165,0.204,0.158,0.234,0.183,0.181,0.228,0.156,0.09,0.216,0.278,0.171,0.148,0.096,0.312
"Nunca la votaría",0.406,0.426,0.387,0.276,0.473,0.509,0.318,0.359,0.418,0.432,0.341,0.479,0.23,0.428,0.319,0.478,0.467,0.604,0.22
"No sabe",0.224,0.192,0.256,0.265,0.235,0.145,0.244,0.206,0.243,0.219,0.185,0.205,0.083,0.295,0.108,0.18,0.236,0.092,0.325
