"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior"
"Sergio Massa Presidente, Agustin Rossi Vicepresidente , Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.258,0.222,0.29,0.191,0.286,0.27,0.286,0.27,0.24,0.272,0.494,0.069,0.14,0.271,0.23
"Juan Grabois Presidente, Paula Abal Medina Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria",0.093,0.078,0.108,0.133,0.089,0.058,0.083,0.1,0.085,0.099,0.143,0.068,0.054,0.086,0.109
"Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.217,0.209,0.225,0.146,0.176,0.285,0.346,0.202,0.219,0.239,0.09,0.392,0.117,0.217,0.218
"Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente, Diego Santilli gobernador y Gustavo Posse vicegobernador; por Juntos por el Cambio",0.123,0.105,0.14,0.092,0.13,0.151,0.126,0.119,0.126,0.124,0.066,0.192,0.314,0.114,0.142
"Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza",0.226,0.282,0.175,0.367,0.226,0.135,0.106,0.217,0.251,0.191,0.133,0.237,0.234,0.225,0.229
"Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de las diferentes opciones de izquierda",0.025,0.03,0.02,0.006,0.037,0.039,0.008,0.03,0.014,0.037,0.022,0.012,0,0.031,0.012
"Juan Schiaretti a presidente y Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.014,0.018,0.01,0,0.016,0.026,0.016,0.018,0.014,0.007,0.015,0.008,0.023,0.014,0.014
"Otros",0.024,0.037,0.012,0.036,0.023,0.019,0.013,0.024,0.03,0.014,0.009,0.015,0.035,0.02,0.031
"En blanco",0.02,0.019,0.02,0.029,0.017,0.017,0.016,0.02,0.021,0.017,0.028,0.007,0.083,0.022,0.015
