"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco"
"P22_votan","Totalmente seguro.",0.68,0.655,0.642,0.428,0.396,0.424,0.363
"P22_votan","Bastante seguro",0.131,0.149,0.159,0.13,0.041,0.104,0.04
"P22_votan","Algo seguro",0.084,0.116,0.124,0.112,0.111,0.11,0.164
"P22_votan","Para nada seguro",0.105,0.08,0.075,0.33,0.452,0.362,0.433
"P23_votan","Tiene Decidido que va a ir a votar.",0.949,0.96,0.921,0.852,0.872,0.781,0.887
"P23_votan","Tiene dudas sobre si va a ir a  votar",0.051,0.04,0.079,0.148,0.128,0.219,0.113
"P34_votan","Inflación",0.431,0.28,0.373,0.365,0,0.205,0.146
"P34_votan","Desempleo",0.074,0.092,0.053,0.232,0.118,0.12,0.161
"P34_votan","Corrupción",0.138,0.266,0.3,0.087,0.484,0.236,0.31
"P34_votan","Inseguridad",0.132,0.265,0.158,0.172,0.323,0.065,0.182
"P34_votan","Precio del dólar",0.034,0.001,0.006,0,0,0.036,0
"P34_votan","Pobreza",0.076,0.057,0.023,0.122,0,0.054,0.034
"P34_votan","Narcotráfico",0.013,0.019,0.028,0,0,0.025,0.074
"P34_votan","Tarifas",0.023,0.001,0.018,0,0,0.072,0
"P34_votan","Otro",0.063,0.014,0.017,0.005,0.075,0.18,0.093
"P34_votan","No sabe",0.016,0.005,0.024,0.017,0,0.007,0
