"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior"
"Unión por la Patria",0.256,0.249,0.262,0.182,0.291,0.29,0.257,0.246,0.222,0.338,0.485,0.086,0.059,0.266,0.234
"Juntos por el Cambio",0.291,0.258,0.321,0.185,0.257,0.356,0.475,0.301,0.274,0.308,0.155,0.517,0.292,0.274,0.325
"De los liberales libertarios",0.222,0.275,0.173,0.361,0.208,0.158,0.095,0.185,0.264,0.2,0.14,0.24,0.309,0.244,0.179
"De la Izquierda",0.055,0.062,0.049,0.051,0.075,0.045,0.029,0.066,0.045,0.057,0.062,0.032,0.09,0.044,0.077
"Hacemos por nuestro país",0.011,0.011,0.01,0.008,0.008,0.012,0.019,0.013,0.01,0.007,0.009,0.005,0,0.009,0.014
"Otro",0.039,0.056,0.024,0.031,0.032,0.055,0.051,0.059,0.033,0.02,0.035,0.027,0.063,0.04,0.038
"En blanco",0.036,0.038,0.034,0.074,0.024,0.019,0.017,0.041,0.043,0.012,0.047,0.016,0.038,0.03,0.047
"No sabe",0.09,0.051,0.127,0.108,0.105,0.065,0.057,0.089,0.109,0.058,0.067,0.077,0.149,0.093,0.086
