"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente , Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Juan Grabois Presidente, Paula Abal Medina Vicepresidente, Axel Kicillof gobernador y Veronica Magario vicegobernadora; por Union por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente, Nestor Grindetti gobernador y Miguel Fernandez vicegobernador; por Juntos por el Cambio","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente, Diego Santilli gobernador y Gustavo Posse vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta, Carolina Piparo gobernadora y Francisco Oneto vicegobernador; por la Libertad Avanza","Los candidatos a presidente, vicepresidente, gobernador y vicegobernador de las diferentes opciones de izquierda","Juan Schiaretti a presidente y Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco"
"P22","Totalmente seguro.",0.672,0.455,0.632,0.529,0.637,0.645,0.431,0.226,0.437
"P22","Bastante seguro",0.127,0.321,0.146,0.151,0.105,0.067,0.182,0,0.148
"P22","Algo seguro",0.104,0.098,0.085,0.171,0.164,0.021,0.253,0.122,0
"P22","Para nada seguro",0.097,0.126,0.137,0.149,0.094,0.267,0.134,0.652,0.415
"P23","Tiene Decidido que va a ir a votar.",0.93,0.839,0.911,0.849,0.855,0.829,0.843,0.73,0.664
"P23","Tiene dudas sobre si va a ir a  votar",0.037,0.087,0.043,0.079,0.1,0.101,0.097,0.013,0.038
"P23","Tiene Decidido que no va a ir a votar",0.033,0.074,0.046,0.072,0.045,0.07,0.06,0.257,0.298
"P34","Inflación",0.416,0.401,0.276,0.313,0.35,0.17,0.037,0.353,0.489
"P34","Desempleo",0.083,0.101,0.073,0.13,0.042,0.043,0.028,0.123,0.041
"P34","Corrupción",0.117,0.124,0.285,0.261,0.335,0.106,0.58,0.225,0.122
"P34","Inseguridad",0.189,0.152,0.254,0.195,0.155,0.399,0.028,0.016,0.076
"P34","Precio del dólar",0.02,0.028,0.011,0,0.007,0,0,0,0
"P34","Pobreza",0.083,0.062,0.053,0.035,0.024,0.232,0.056,0,0
"P34","Narcotráfico",0.011,0.007,0.001,0.042,0.04,0,0,0,0.097
"P34","Tarifas",0.004,0.06,0.004,0,0.019,0,0,0.158,0
"P34","Otro",0.041,0.065,0.02,0.021,0.017,0.05,0.247,0.125,0.175
"P34","No sabe",0.036,0,0.023,0.003,0.011,0,0.024,0,0
