"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco"
"P22","Totalmente seguro.",0.659,0.626,0.633,0.367,0.444,0.378,0.331
"P22","Bastante seguro",0.136,0.143,0.155,0.134,0.06,0.084,0.102
"P22","Algo seguro",0.087,0.136,0.129,0.171,0.079,0.118,0.122
"P22","Para nada seguro",0.118,0.095,0.083,0.328,0.417,0.42,0.445
"P23","Tiene Decidido que va a ir a votar.",0.911,0.911,0.901,0.731,0.606,0.655,0.652
"P23","Tiene dudas sobre si va a ir a  votar",0.048,0.037,0.078,0.128,0.089,0.178,0.084
"P23","Tiene Decidido que no va a ir a votar",0.041,0.052,0.021,0.141,0.305,0.167,0.264
"P34","Inflación",0.428,0.279,0.374,0.322,0,0.262,0.262
"P34","Desempleo",0.075,0.088,0.052,0.2,0.074,0.099,0.121
"P34","Corrupción",0.136,0.271,0.299,0.135,0.31,0.194,0.331
"P34","Inseguridad",0.138,0.265,0.158,0.202,0.471,0.055,0.132
"P34","Precio del dólar",0.033,0.001,0.006,0,0,0.03,0
"P34","Pobreza",0.075,0.055,0.023,0.105,0,0.051,0.025
"P34","Narcotráfico",0.013,0.018,0.028,0,0.096,0.021,0.055
"P34","Tarifas",0.024,0.001,0.018,0,0,0.061,0
"P34","Otro",0.062,0.017,0.018,0.021,0.049,0.152,0.074
"P34","No sabe",0.016,0.005,0.024,0.015,0,0.075,0
