"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Hipermercado/Supermercado",0.471,0.483,0.459,0.477,0.434,0.513,0.486,0.432,0.48,0.498,0.555,0.466,0.487,0.452,0.613,0.393,0.44,0.506,0.316,0.632
"Almacenes",0.258,0.268,0.25,0.241,0.303,0.229,0.221,0.275,0.252,0.249,0.151,0.292,0.269,0.257,0.212,0.348,0.283,0.222,0.301,0.169
"Productores locales/mercados de cercanía/Ferias",0.17,0.153,0.185,0.138,0.16,0.177,0.215,0.157,0.178,0.173,0.171,0.144,0.177,0.183,0.131,0.18,0.196,0.123,0.238,0.111
"Vía pública",0.042,0.04,0.044,0.04,0.046,0.043,0.034,0.056,0.038,0.033,0.037,0.049,0.035,0.04,0.011,0.014,0.025,0.103,0.062,0.02
"No sabe",0.059,0.056,0.062,0.104,0.057,0.038,0.044,0.08,0.052,0.047,0.086,0.049,0.032,0.068,0.033,0.065,0.056,0.046,0.083,0.068
