"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Asado",0.117,0.142,0.094,0.111,0.116,0.115,0.127,0.153,0.093,0.11,0.09,0.171,0.085,0.08,0.142,0.105,0.138,0.111,0.103,0.126
"Pizza",0.068,0.077,0.061,0.078,0.071,0.051,0.075,0.064,0.077,0.061,0.054,0.059,0.097,0.074,0.014,0.068,0.081,0.071,0.051,0.061
"Milanesa",0.199,0.22,0.181,0.21,0.206,0.201,0.172,0.168,0.201,0.231,0.262,0.227,0.194,0.195,0.249,0.169,0.248,0.128,0.131,0.124
"Pastas",0.186,0.184,0.187,0.207,0.192,0.182,0.153,0.19,0.19,0.175,0.169,0.163,0.199,0.242,0.285,0.177,0.173,0.166,0.157,0.213
"Empanadas",0.038,0.044,0.032,0.033,0.039,0.037,0.041,0.044,0.026,0.047,0.046,0.033,0.035,0.039,0.005,0.022,0.03,0.048,0.064,0.034
"Hamburguesa",0.02,0.025,0.016,0.031,0.017,0.018,0.019,0.022,0.017,0.023,0.019,0.023,0.029,0.018,0.02,0.013,0.019,0.006,0.021,0.028
"Ensaladas (de cualquier tipo)",0.1,0.072,0.126,0.042,0.07,0.146,0.168,0.068,0.092,0.145,0.136,0.108,0.109,0.064,0.09,0.112,0.099,0.117,0.054,0.105
"Guiso (de lentejas, de arroz, locro o similares)",0.122,0.107,0.135,0.161,0.124,0.093,0.111,0.112,0.157,0.084,0.077,0.091,0.095,0.136,0.158,0.2,0.082,0.153,0.239,0.103
"Polenta o similares (de cualquier tipo)",0.071,0.064,0.077,0.047,0.092,0.069,0.056,0.099,0.072,0.041,0.048,0.059,0.078,0.083,0.019,0.042,0.047,0.139,0.104,0.082
"Ninguno de los anteriores",0.079,0.065,0.091,0.08,0.073,0.088,0.078,0.08,0.075,0.083,0.099,0.066,0.079,0.069,0.018,0.092,0.083,0.061,0.076,0.124
