"var","categoria","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad"
"P05","Del Frente de Todos y el peronismo",0.19,0.175,0.443,0.242,0.007,0.209
"P05","De Juntos por el cambio",0.252,0.224,0.127,0.385,0.081,0.019
"P05","De los Liberales libertarios",0.07,0.239,0.087,0.135,0.419,0.021
"P05","De la Izquierda",0.029,0.063,0.06,0.059,0.023,0.582
"P05","No sabe",0.459,0.299,0.283,0.179,0.47,0.169
"P06","A Alberto Fernández",0.401,0.279,0.253,0.736,1,0.539
"P06","A Sergio Massa",0.142,0.122,0.124,0,0,0.181
"P06","A algún candidato del peronismo",0.181,0.297,0.148,0.216,0,0.153
"P06","A algún candidato del kirchnerismo",0.276,0.302,0.475,0.048,0,0.127
"P07","A Alberto Fernández",0.312,0.307,0.254,0.374,1,0.539
"P07","A Sergio Massa",0.163,0.071,0.087,0,0,0.181
"P07","A algún candidato del peronismo",0.109,0.155,0.056,0.03,0,0.153
"P07","A Cristina Fernández de Kirchner",0.416,0.467,0.603,0.596,0,0.127
"P08","A Horacio Rodriguez Larreta",0.262,0.342,0.388,0.098,0.03,0
"P08","A Mauricio Macri",0.439,0.299,0.492,0.448,0.622,0
"P08","A Patricia Bullrich",0.251,0.284,0.12,0.265,0.227,0
"P08","A Facundo Manes",0.002,0.027,0,0.016,0.015,1
"P08","A Gerardo Morales",0.046,0.048,0,0.173,0.106,0
"P11","Lo votaría",0.677,0.086,0.141,0.31,0.147,0.017
"P11","Puede que lo vote",0.123,0.143,0.117,0.219,0.14,0.045
"P11","Nunca lo votaría",0.071,0.644,0.515,0.325,0.461,0.791
"P11","No sabe",0.129,0.127,0.227,0.146,0.252,0.147
"P12","Lo votaría",0.155,0.704,0.182,0.183,0.087,0.008
"P12","Puede que lo vote",0.156,0.129,0.175,0.252,0.096,0.037
"P12","Nunca lo votaría",0.507,0.089,0.429,0.482,0.578,0.752
"P12","No sabe",0.182,0.078,0.214,0.083,0.239,0.203
"P13","Lo votaría",0.074,0.138,0.616,0.151,0.052,0.12
"P13","Puede que lo vote",0.127,0.158,0.143,0.142,0.137,0.08
"P13","Nunca lo votaría",0.615,0.568,0.125,0.663,0.638,0.613
"P13","No sabe",0.184,0.136,0.116,0.044,0.173,0.187
"P14","Lo votaría",0.047,0.096,0.115,0.36,0.043,0.05
"P14","Puede que lo vote",0.146,0.169,0.111,0.216,0.175,0
"P14","Nunca lo votaría",0.599,0.608,0.557,0.304,0.53,0.827
"P14","No sabe",0.208,0.127,0.217,0.12,0.252,0.123
"P15","Lo votaría",0.058,0.086,0.106,0.127,0.45,0.008
"P15","Puede que lo vote",0.119,0.185,0.077,0.215,0.137,0.044
"P15","Nunca lo votaría",0.626,0.589,0.594,0.477,0.206,0.779
"P15","No sabe",0.197,0.14,0.223,0.181,0.207,0.169
"P16","Lo votaría",0.052,0.042,0.108,0.073,0.073,0.389
"P16","Puede que lo vote",0.087,0.106,0.075,0.247,0.105,0.092
"P16","Nunca lo votaría",0.666,0.699,0.563,0.512,0.584,0.391
"P16","No sabe",0.195,0.153,0.254,0.168,0.238,0.128
"P17","Muy buena",0.472,0.067,0.062,0.184,0.12,0.026
"P17","Buena",0.208,0.094,0.13,0.159,0.049,0.184
"P17","Ni buena ni mala",0.165,0.316,0.361,0.309,0.33,0.175
"P17","Mala",0.053,0.21,0.088,0.17,0.212,0.077
"P17","Muy mala",0.009,0.194,0.175,0.094,0.115,0.382
"P17","No lo conozco",0.079,0.105,0.135,0.068,0.136,0.156
"P17","No sabe",0.014,0.014,0.049,0.016,0.038,0
"P18","Muy buena",0.115,0.483,0.113,0.103,0.085,0.08
"P18","Buena",0.124,0.247,0.124,0.154,0.12,0.045
"P18","Ni buena ni mala",0.289,0.112,0.308,0.373,0.244,0.342
"P18","Mala",0.175,0.022,0.12,0.208,0.189,0.087
"P18","Muy mala",0.142,0.085,0.179,0.095,0.247,0.363
"P18","No lo conozco",0.092,0.018,0.119,0.041,0.058,0.083
"P18","No sabe",0.063,0.033,0.037,0.026,0.057,0
"P19","Muy buena",0.055,0.132,0.409,0.111,0.048,0.141
"P19","Buena",0.085,0.159,0.206,0.058,0.043,0.097
"P19","Ni buena ni mala",0.319,0.349,0.183,0.319,0.244,0.162
"P19","Mala",0.225,0.145,0.039,0.285,0.23,0.075
"P19","Muy mala",0.172,0.135,0.094,0.177,0.28,0.409
"P19","No lo conozco",0.119,0.053,0.031,0.02,0.124,0.116
"P19","No sabe",0.025,0.027,0.038,0.03,0.031,0
"P20","Muy buena",0.02,0.073,0.112,0.285,0.047,0.01
"P20","Buena",0.071,0.127,0.09,0.233,0.087,0.056
"P20","Ni buena ni mala",0.328,0.349,0.328,0.228,0.365,0.162
"P20","Mala",0.186,0.144,0.079,0.115,0.173,0.111
"P20","Muy mala",0.12,0.121,0.148,0.026,0.135,0.415
"P20","No lo conozco",0.222,0.144,0.17,0.097,0.146,0.213
