"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P05","Del Frente de Todos y el peronismo",0.286,0.326,0.218,0.198,0.198,0.12,0.183
"P05","De Juntos por el cambio",0.277,0.211,0.234,0.224,0.214,0.126,0.097
"P05","De los Liberales libertarios",0.062,0.065,0.183,0.28,0.262,0.238,0.168
"P05","De la Izquierda",0.026,0.02,0.048,0.095,0.123,0.074,0.032
"P05","No sabe",0.349,0.378,0.317,0.203,0.203,0.442,0.52
"P06","A Alberto Fernández",0.381,0.481,0.185,0.392,0.239,0.172,0.619
"P06","A Sergio Massa",0.145,0.166,0.123,0.129,0.095,0,0
"P06","A algún candidato del peronismo",0.241,0.084,0.33,0.072,0.213,0.424,0.178
"P06","A algún candidato del kirchnerismo",0.233,0.269,0.362,0.407,0.453,0.404,0.203
"P07","A Alberto Fernández",0.419,0.384,0.075,0.311,0.351,0.524,0.485
"P07","A Sergio Massa",0.104,0.04,0.139,0.078,0.095,0,0
"P07","A algún candidato del peronismo",0.046,0.093,0.175,0.056,0.049,0,0
"P07","A Cristina Fernández de Kirchner",0.431,0.483,0.611,0.555,0.505,0.476,0.515
"P08","A Horacio Rodriguez Larreta",0.295,0.192,0.184,0.338,0.419,0.1,1
"P08","A Mauricio Macri",0.393,0.385,0.243,0.32,0.311,0.757,0
"P08","A Patricia Bullrich",0.254,0.329,0.41,0.223,0.21,0.143,0
"P08","A Facundo Manes",0,0.053,0.007,0.012,0.007,0,0
"P08","A Gerardo Morales",0.058,0.041,0.156,0.107,0.053,0,0
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.61,0.353,0.214,0.168,0.079,0.122,0.115
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.177,0.206,0.322,0.385,0.369,0.227,0.133
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.048,0.135,0.154,0.096,0.159,0.167,0.163
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.076,0.1,0.113,0.077,0.067,0.033,0
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.073,0.134,0.096,0.139,0.14,0.177,0.131
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0,0.015,0.016,0.024,0.089,0,0.106
"P09","No sabe",0.016,0.057,0.085,0.111,0.097,0.274,0.352
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.662,0.397,0.261,0.16,0.075,0.081,0.356
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.152,0.197,0.313,0.373,0.376,0.258,0.121
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.061,0.105,0.151,0.1,0.11,0.159,0.068
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.072,0.122,0.119,0.085,0.097,0.088,0.018
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.015,0.095,0.077,0.155,0.166,0.167,0.021
"P10","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.012,0.01,0.01,0.026,0.076,0.003,0.106
"P10","No sabe",0.026,0.074,0.069,0.101,0.1,0.244,0.31
"P11","Lo votaría",0.847,0.351,0.256,0.184,0.084,0.184,0.29
"P11","Puede que lo vote",0.048,0.324,0.157,0.118,0.054,0.12,0.108
"P11","Nunca lo votaría",0.089,0.182,0.445,0.606,0.817,0.365,0.168
"P11","No sabe",0.016,0.143,0.142,0.092,0.045,0.331,0.434
"P12","Lo votaría",0.275,0.229,0.345,0.412,0.342,0.291,0.121
"P12","Puede que lo vote",0.097,0.218,0.181,0.098,0.115,0.108,0.151
"P12","Nunca lo votaría",0.583,0.409,0.343,0.434,0.51,0.249,0.129
"P12","No sabe",0.045,0.144,0.131,0.056,0.033,0.352,0.599
"P13","Lo votaría",0.16,0.209,0.123,0.21,0.164,0.195,0.292
"P13","Puede que lo vote",0.072,0.213,0.164,0.133,0.129,0.127,0.071
"P13","Nunca lo votaría",0.709,0.423,0.616,0.619,0.66,0.32,0.051
"P13","No sabe",0.059,0.155,0.097,0.038,0.047,0.358,0.586
"P14","Lo votaría",0.164,0.067,0.071,0.115,0.095,0.094,0.041
"P14","Puede que lo vote",0.09,0.349,0.177,0.111,0.123,0.111,0.071
"P14","Nunca lo votaría",0.688,0.414,0.574,0.697,0.729,0.351,0.254
"P14","No sabe",0.058,0.17,0.178,0.077,0.053,0.444,0.634
"P15","Lo votaría",0.138,0.096,0.076,0.171,0.214,0.163,0.028
"P15","Puede que lo vote",0.086,0.367,0.121,0.114,0.149,0.079,0
"P15","Nunca lo votaría",0.722,0.393,0.619,0.64,0.59,0.284,0.301
"P15","No sabe",0.054,0.144,0.184,0.075,0.047,0.474,0.671
"P16","Lo votaría",0.128,0.072,0.028,0.065,0.115,0.11,0
"P16","Puede que lo vote",0.06,0.259,0.114,0.069,0.08,0.09,0
"P16","Nunca lo votaría",0.74,0.488,0.653,0.779,0.743,0.368,0.277
"P16","No sabe",0.072,0.181,0.205,0.087,0.062,0.432,0.723
"P17","Muy buena",0.665,0.251,0.137,0.102,0.057,0.091,0.096
"P17","Buena",0.097,0.331,0.149,0.065,0.051,0.055,0.386
"P17","Ni buena ni mala",0.134,0.277,0.494,0.296,0.145,0.191,0.033
"P17","Mala",0.004,0.051,0.102,0.343,0.182,0.113,0.079
"P17","Muy mala",0.085,0,0.042,0.134,0.449,0.153,0
"P17","No lo conozco",0.009,0.09,0.074,0.044,0.101,0.371,0.14
"P17","No sabe",0.006,0,0.002,0.016,0.015,0.026,0.266
"P18","Muy buena",0.231,0.193,0.228,0.279,0.26,0.201,0.062
"P18","Buena",0.153,0.255,0.202,0.179,0.07,0.07,0.143
"P18","Ni buena ni mala",0.174,0.225,0.422,0.146,0.142,0.178,0.188
"P18","Mala",0.152,0.162,0.069,0.263,0.065,0.03,0.028
"P18","Muy mala",0.272,0.03,0.035,0.096,0.434,0.167,0
"P18","No lo conozco",0.009,0.075,0.032,0.024,0.027,0.298,0.081
"P18","No sabe",0.009,0.06,0.012,0.013,0.002,0.056,0.498
"P19","Muy buena",0.137,0.142,0.094,0.103,0.148,0.244,0.172
"P19","Buena",0.056,0.287,0.146,0.113,0.028,0.124,0
"P19","Ni buena ni mala",0.379,0.221,0.499,0.222,0.198,0.151,0.054
"P19","Mala",0.212,0.128,0.171,0.408,0.083,0.052,0.018
"P19","Muy mala",0.173,0.074,0.057,0.102,0.518,0.147,0.01
"P19","No lo conozco",0.043,0.119,0.028,0.039,0.025,0.255,0.254
"P19","No sabe",0,0.029,0.005,0.013,0,0.027,0.492
"P20","Muy buena",0.15,0.071,0.055,0.081,0.027,0.091,0.046
"P20","Buena",0.044,0.266,0.11,0.081,0.11,0.069,0
"P20","Ni buena ni mala",0.357,0.295,0.568,0.279,0.178,0.219,0.019
"P20","Mala",0.191,0.144,0.069,0.358,0.109,0.074,0
"P20","Muy mala",0.136,0.018,0.061,0.066,0.464,0.011,0
"P20","No lo conozco",0.112,0.124,0.12,0.106,0.096,0.485,0.399
"P20","No sabe",0.01,0.082,0.017,0.029,0.016,0.051,0.536
"P21","Muy buena",0.113,0.058,0.062,0.084,0.128,0.116,0
"P21","Buena",0.036,0.258,0.076,0.077,0.126,0.117,0
"P21","Ni buena ni mala",0.278,0.268,0.504,0.211,0.11,0.105,0.033
"P21","Mala",0.262,0.134,0.102,0.45,0.052,0.052,0
"P21","Muy mala",0.226,0.089,0.12,0.085,0.519,0.048,0.021
"P21","No lo conozco",0.082,0.176,0.12,0.091,0.038,0.52,0.292
"P21","No sabe",0.003,0.017,0.016,0.002,0.027,0.042,0.654
"P22","Muy buena",0.151,0.046,0.012,0.017,0.037,0.08,0
"P22","Buena",0.064,0.232,0.042,0.04,0.045,0.059,0
"P22","Ni buena ni mala",0.256,0.4,0.656,0.157,0.086,0.088,0.01
"P22","Mala",0.25,0.111,0.09,0.579,0.091,0.003,0
"P22","Muy mala",0.185,0.025,0.041,0.044,0.633,0.069,0
"P22","No lo conozco",0.094,0.159,0.156,0.144,0.089,0.652,0.313
"P22","No sabe",0,0.027,0.003,0.019,0.019,0.049,0.677
"P24","Muy buena",0.187,0.01,0.113,0.049,0.113,0.133,0
"P24","Buena",0.08,0.348,0.084,0.084,0.044,0.01,0
"P24","Ni buena ni mala",0.274,0.41,0.513,0.153,0.095,0.062,0.076
"P24","Mala",0.197,0.025,0.037,0.48,0.058,0,0
"P24","Muy mala",0.137,0.017,0.013,0.073,0.543,0.007,0
"P24","No lo conozco",0.123,0.164,0.228,0.153,0.142,0.726,0.149
"P24","No sabe",0.002,0.026,0.012,0.008,0.005,0.062,0.775
"P25","Muy buena",0.178,0.042,0.013,0.017,0.033,0.144,0
"P25","Buena",0.042,0.287,0.064,0.025,0.079,0.007,0
"P25","Ni buena ni mala",0.261,0.3,0.573,0.238,0.149,0.052,0.026
"P25","Mala",0.22,0.085,0.022,0.464,0.07,0.028,0
"P25","Muy mala",0.086,0.028,0.012,0.085,0.475,0.073,0
"P25","No lo conozco",0.174,0.224,0.302,0.164,0.169,0.617,0.456
"P25","No sabe",0.039,0.034,0.014,0.007,0.025,0.079,0.518
"P26","Muy buena",0.101,0.028,0.013,0.022,0.014,0.055,0
"P26","Buena",0.057,0.238,0.066,0.027,0.064,0.013,0
"P26","Ni buena ni mala",0.315,0.313,0.559,0.201,0.182,0.119,0.058
"P26","Mala",0.201,0.062,0.061,0.456,0.043,0,0
"P26","Muy mala",0.157,0.044,0.034,0.093,0.458,0.039,0
"P26","No lo conozco",0.157,0.253,0.231,0.201,0.214,0.678,0.391
"P26","No sabe",0.012,0.062,0.036,0,0.025,0.096,0.551
"P27","Muy buena",0.118,0.059,0.006,0.028,0.005,0.053,0
"P27","Buena",0.012,0.198,0.019,0.004,0.044,0,0
"P27","Ni buena ni mala",0.324,0.303,0.512,0.194,0.089,0.028,0.027
"P27","Mala",0.2,0.047,0.044,0.418,0.048,0,0
"P27","Muy mala",0.084,0.056,0.016,0.042,0.46,0,0
"P27","No lo conozco",0.246,0.303,0.377,0.299,0.291,0.835,0.354
"P27","No sabe",0.016,0.034,0.026,0.015,0.063,0.084,0.619
"P28","Muy buena",0.113,0.057,0.007,0.026,0.053,0.053,0
"P28","Buena",0.026,0.213,0.071,0.064,0.088,0.012,0
