"var","categoria","Del Frente de Todos y el peronismo","De Juntos por el cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P09_imputada","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.269,0.351,0.112,0.134,0.371
"P09_imputada","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.265,0.334,0.409,0.305,0.259
"P09_imputada","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.325,0.092,0.072,0.141,0.119
"P09_imputada","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.104,0.163,0.065,0.081,0.044
"P09_imputada","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.005,0.057,0.338,0.052,0.192
"P09_imputada","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.032,0.003,0.004,0.287,0.015
"P10_imputada","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.257,0.307,0.112,0.151,0.458
"P10_imputada","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.333,0.397,0.277,0.263,0.26
"P10_imputada","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.289,0.028,0.089,0.176,0.093
"P10_imputada","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.094,0.23,0.105,0.016,0.055
"P10_imputada","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.005,0.038,0.415,0.077,0.122
"P10_imputada","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.022,0,0.002,0.317,0.012
