"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior"
"Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.24,0.219,0.259,0.168,0.264,0.27,0.307,0.259,0.223,0.245,0.254,0.228
"“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.272,0.275,0.269,0.31,0.272,0.266,0.163,0.181,0.328,0.287,0.225,0.311
"Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.129,0.149,0.11,0.117,0.13,0.159,0.109,0.16,0.11,0.126,0.113,0.143
"Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.076,0.089,0.063,0.068,0.06,0.078,0.164,0.093,0.063,0.078,0.088,0.066
"Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.116,0.126,0.106,0.128,0.118,0.093,0.108,0.126,0.114,0.104,0.153,0.085
"Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.029,0.027,0.032,0.034,0.035,0.017,0.014,0.024,0.028,0.039,0.021,0.035
"No sabe",0.138,0.115,0.161,0.175,0.121,0.117,0.135,0.157,0.134,0.121,0.146,0.132
