"var","categoria","Positiva","Neutra","Negativa","No lo conozco","No sabe"
"P05","Del Frente de Todos y el peronismo",0.254,0.233,0.196,0.147,0.091
"P05","De Juntos por el cambio",0.261,0.227,0.22,0.129,0.284
"P05","De los Liberales libertarios",0.105,0.197,0.269,0.191,0.143
"P05","De la Izquierda",0.029,0.063,0.105,0.038,0.052
"P05","No sabe",0.351,0.28,0.21,0.495,0.43
"P06","A Alberto Fernández",0.511,0.291,0.16,0.264,0
"P06","A Sergio Massa",0.135,0.145,0.098,0,0
"P06","A algún candidato del peronismo",0.152,0.209,0.277,0.246,0.144
"P06","A algún candidato del kirchnerismo",0.202,0.355,0.465,0.49,0.856
"P07","A Alberto Fernández",0.466,0.215,0.235,0.196,0
"P07","A Sergio Massa",0.098,0.127,0.069,0,0
"P07","A algún candidato del peronismo",0.076,0.13,0.039,0.081,0
"P07","A Cristina Fernández de Kirchner",0.36,0.528,0.657,0.723,1
"P08","A Horacio Rodriguez Larreta",0.35,0.242,0.3,0.151,0.423
"P08","A Mauricio Macri",0.317,0.414,0.315,0.416,0.577
"P08","A Patricia Bullrich",0.227,0.309,0.281,0.329,0
"P08","A Facundo Manes",0,0.022,0.008,0.017,0
"P08","A Gerardo Morales",0.106,0.013,0.096,0.087,0
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.582,0.123,0.035,0.07,0
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.135,0.333,0.439,0.251,0.16
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.078,0.184,0.129,0.176,0.178
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.086,0.082,0.077,0.042,0.061
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.068,0.125,0.173,0.166,0.19
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.018,0.018,0.049,0.02,0
"P09","No sabe",0.033,0.135,0.098,0.275,0.411
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.644,0.158,0.046,0.043,0
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.142,0.317,0.426,0.298,0.371
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.055,0.169,0.114,0.133,0.174
"P10","A Pablo Cervi por Juntos por el Cambio Neuquén con el apoyo de Martín Lousteau y parte de la UCR",0.063,0.124,0.112,0.07,0
"P10","A Carlos Eguía por Cumplir con el apoyo de Javier Milei",0.039,0.133,0.151,0.159,0.126
"P10","A Patricia Jure del Frente de Izquierda Unidad con apoyo de Nicolás del Caño",0.021,0.006,0.052,0.014,0
"P10","No sabe",0.036,0.093,0.099,0.283,0.329
"P11","Lo votaría",0.712,0.133,0.058,0.094,0
"P11","Puede que lo vote",0.133,0.201,0.068,0.152,0.149
"P11","Nunca lo votaría",0.071,0.504,0.795,0.426,0.278
"P11","No sabe",0.084,0.162,0.079,0.328,0.573
"P12","Lo votaría",0.235,0.341,0.432,0.277,0.22
"P12","Puede que lo vote",0.158,0.184,0.098,0.105,0.072
"P12","Nunca lo votaría",0.467,0.374,0.413,0.291,0.132
"P12","No sabe",0.14,0.101,0.057,0.327,0.576
"P13","Lo votaría",0.167,0.169,0.194,0.178,0.198
"P13","Puede que lo vote",0.157,0.133,0.118,0.155,0.053
"P13","Nunca lo votaría",0.586,0.593,0.61,0.345,0.065
"P13","No sabe",0.09,0.105,0.078,0.322,0.684
"P14","Lo votaría",0.096,0.079,0.134,0.094,0.045
"P14","Puede que lo vote",0.168,0.175,0.133,0.112,0.077
"P14","Nunca lo votaría",0.58,0.602,0.648,0.41,0.194
